row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,543.857.058.987,33.096.164.098,771.254.385.414,8.585.444.220,1.356.793.052.719,543857058987.0,33096164098.0,771254385414.0,8585444220.0,1356793052719.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.115.597.444,731.220.000,229.059.643.415,6.211.442.399,239.117.903.258,3115597444.0,731220000.0,229059643415.0,6211442399.0,239117903258.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,171.803.613.515,-,-,-,171.803.613.515,171803613515.0,,,,171803613515.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(346.248.472),-,(2.728.912.917),-,(3.075.161.389),-346248472.0,,-2728912917.0,,-3075161389.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(19.619.746.874),15.603.853.365,(1.429.407.273),7.283.892.861,1.838.592.079,-19619746874.0,15603853365.0,-1429407273.0,7283892861.0,1838592079.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,698.810.274.600,49.431.237.463,996.155.708.639,22.080.779.480,1.766.478.000.182,698810274600.0,49431237463.0,996155708639.0,22080779480.0,1766478000182.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,143.788.214.894,6.824.793.149,259.099.453.916,2.459.751.557,412.172.213.516,143788214894.0,6824793149.0,259099453916.0,2459751557.0,412172213516.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.273.765.844,5.728.854.973,99.076.737.329,2.231.594.088,153.310.952.234,46273765844.0,5728854973.0,99076737329.0,2231594088.0,153310952234.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(346.248.472),-,(2.728.912.917),-,(3.075.161.389),-346248472.0,,-2728912917.0,,-3075161389.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(22.302.600),44.581.440,(11.911.727),20.276.089,30.643.202,-22302600.0,44581440.0,-11911727.0,20276089.0,30643202.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,189.693.429.666,12.598.229.562,355.435.366.601,4.711.621.734,562.438.647.563,189693429666.0,12598229562.0,355435366601.0,4711621734.0,562438647563.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,400.068.844.093,26.271.370.949,512.154.931.498,6.125.692.663,944.620.839.203,400068844093.0,26271370949.0,512154931498.0,6125692663.0,944620839203.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,509.116.844.934,36.833.007.901,640.720.342.038,17.369.157.746,1.204.039.352.619,509116844934.0,36833007901.0,640720342038.0,17369157746.0,1204039352619.0
