row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,345.415.410.000,37.231.904.775,(10.396.631.245),435.340.718.031,250.789.157.324,157.500.000.000,1.215.880.558.885,345415410000.0,37231904775.0,-10396631245.0,435340718031.0,250789157324.0,157500000000.0,1215880558885.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,10.675.000.000,10.675.000.000,,,,,,10675000000.0,10675000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,279.258.328.386,(2.568.881.030),276.689.447.356,,,,,279258328386.0,-2568881030.0,276689447356.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,102.223.212.241,(102.223.212.241),-,-,,,,102223212241.0,-102223212241.0,,
Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,(1.090.013.529),10.396.631.245,-,-,-,9.306.617.716,,-1090013529.0,10396631245.0,,,,9306617716.0
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,,,
"khen thưởng, phúc lợi","Phân bổ vào quỹ > khen thưởng, phúc lợi","khen thưởng, phúc lợi",-,-,-,-,(23.881.991.816),-,(23.881.991.816),,,,,-23881991816.0,,-23881991816.0
Cổ tức,Phân bổ vào quỹ > Cổ tức,Cổ tức,68.745.010.000,-,-,-,(127.348.522.500),-,(58.603.512.500),68745010000.0,,,,-127348522500.0,,-58603512500.0
Thù lao Hội đồng Quản trị và Ban kiểm soát,Phân bổ vào quỹ > Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,-,-,-,-,(1.776.000.000),-,(1.776.000.000),,,,,-1776000000.0,,-1776000000.0
Biến động khác,Phân bổ vào quỹ > Biến động khác,Biến động khác,-,-,-,-,15.103.581,2.867.146.419,2.882.250.000,,,,,15103581.0,2867146419.0,2882250000.0
Số dư tại ngày 1/1/2016,Phân bổ vào quỹ > Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,414.160.420.000,36.141.891.246,-,537.563.930.272,274.832.862.734,168.473.265.389,1.431.172.369.641,414160420000.0,36141891246.0,,537563930272.0,274832862734.0,168473265389.0,1431172369641.0
Lợi nhuận thuần trong năm,Phân bổ vào quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,251.282.298.636,10.716.031.313,261.998.329.949,,,,,251282298636.0,10716031313.0,261998329949.0
Phân bổ vào các quỹ,Phân bổ vào quỹ > Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,61.031.189.600,(61.031.189.600),-,-,,,,61031189600.0,-61031189600.0,,
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,,,
"khen thưởng, phúc lợi","Phân bổ vào quỹ > khen thưởng, phúc lợi","khen thưởng, phúc lợi",-,-,-,-,(27.094.872.000),-,(27.094.872.000),,,,,-27094872000.0,,-27094872000.0
Cổ tức (Thuyết minh 20),Phân bổ vào quỹ > Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),41.411.000.000,-,-,-,(128.384.184.000),(2.303.000.000),(89.276.184.000),41411000000.0,,,,-128384184000.0,-2303000000.0,-89276184000.0
Thù lao Hội đồng Quản trị và Ban kiểm soát,Phân bổ vào quỹ > Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,-,-,-,-,(2.709.000.000),-,(2.709.000.000),,,,,-2709000000.0,,-2709000000.0
Ảnh hưởng của giao dịch chuyển nhượng vốn giữa các cổ đông của công ty con,Phân bổ vào quỹ > Ảnh hưởng của giao dịch chuyển nhượng vốn giữa các cổ đông của công ty con,Ảnh hưởng của giao dịch chuyển nhượng vốn giữa các cổ đông của công ty con,-,-,-,-,(48.600.000.000),(10.000.000.000),(58.600.000.000),,,,,-48600000000.0,-10000000000.0,-58600000000.0
Số dư tại ngày 31/12/2016,Phân bổ vào quỹ > Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,455.571.420.000,36.141.891.246,-,598.595.119.872,258.295.915.770,166.886.296.702,1.515.490.643.590,455571420000.0,36141891246.0,,598595119872.0,258295915770.0,166886296702.0,1515490643590.0
