row_label_raw,row_label_full,Khoản vay 1 (i) > Khoản vay 2 (ii) > Khoản vay 3 (iii),Loại tiền > USD > VND,"Lãi suất năm > 4% > 7% > 6,8%",Năm đáo hạn > 2017 > 2019 > 2025,31/12/2016 VND > 4.831.480.000 > 7.856.500.000 > 630.341.745.562,1/1/2016 VND > 9.556.960.000 > 10.000.000.000 > 405.032.021.728,numeric__Loại tiền > USD > VND,"numeric__Lãi suất năm > 4% > 7% > 6,8%",numeric__Năm đáo hạn > 2017 > 2019 > 2025,numeric__31/12/2016 VND > 4.831.480.000 > 7.856.500.000 > 630.341.745.562,numeric__1/1/2016 VND > 9.556.960.000 > 10.000.000.000 > 405.032.021.728
,,,,,,643.029.725.562,424.588.981.728,,,,643029725562.0,424588981728.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(57.689.480.000),(7.012.140.000),,,,-57689480000.0,-7012140000.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,585.340.245.562,417.576.841.728,,,,585340245562.0,417576841728.0
