row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),,,,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Trả trước cho người bán ngắn hạn (TM số 7) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Ứng trước mua hàng hóa,286.841.877,286.841.877,,,286841877.0,286841877.0
Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),Phải thu về cho vay ngắn hạn (TM số 8) (*),,,,
Công ty Cổ phần Lê Me,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Cho vay,4.120.545.983,3.644.498.048,,,4120545983.0,3644498048.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty có cùng thành viên HĐQT,Cho vay,1.351.784.995,737.585.456,,,1351784995.0,737585456.0
Công ty Cổ phần Gia súc Lơ Pang,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty liên quan,Cho vay,500.000.000,-,,,500000000.0,
Ông Đoàn Nguyên Đức,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Cho vay,102.165.041,-,,,102165041.0,
Ông Nguyễn Kim Luân,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Ông Nguyễn Kim Luân,Ông Nguyễn Kim Luân,Bên liên quan,Cho vay,64.431.000,-,,,64431000.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Cho vay,38.883.530,8.907.530,,,38883530.0,8907530.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Cho vay,4.209.929,86.936.725,,,4209929.0,86936725.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Cho vay,-,49.900.701,,,,49900701.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai – Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai – Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai – Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty liên quan,Cho vay,-,3.000.000,,,,3000000.0
Bà Hồ Thị Kim Chi,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,Cho vay,-,1.811.406,,,,1811406.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) (*) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Cho vay,-,123.662,,,,123662.0
,,,,,6.182.020.478,4.532.763.528,,,6182020478.0,4532763528.0
