row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,,
Công ty TNHHHưng Thắng Lợi Gia Lai,Phải thu dài hạn khác (TM số 9) > Công ty TNHHHưng Thắng Lợi Gia Lai,Công ty TNHHHưng Thắng Lợi Gia Lai,Công ty con,Lãi cho vay,57.184.692,45.411.741,,,57184692.0,45411741.0
Công ty Cổ phần GỗHoàng Anh Gia Lai,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,43.144.374,29.854.077,,,43144374.0,29854077.0
Công ty Cổ phần Chăn nuôiGia Lai,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Chăn nuôiGia Lai,Công ty Cổ phần Chăn nuôiGia Lai,Công ty con,Lãi cho vay,36.286.633,1.425.567,,,36286633.0,1425567.0
Công ty Cổ phần Gia súcLo' Pang,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Gia súcLo' Pang,Công ty Cổ phần Gia súcLo' Pang,Công ty liên quan,Lãi cho vay,31.534.787,-,,,31534787.0,
Công ty TNHH Dịch vụNông nghiệp Tây Nguyên,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Dịch vụNông nghiệp Tây Nguyên,Công ty TNHH Dịch vụNông nghiệp Tây Nguyên,Công ty liên quan,Lãi cho vay,24.690.715,-,,,24690715.0,
Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,10.021.989,10.499.762,,,10021989.0,10499762.0
Công ty Cổ phần Lê Me,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Lãi cho vay,9.624.571,4.805.684,,,9624571.0,4805684.0
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Phải thu dài hạn khác (TM số 9) > Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty con,Lãi cho vay,19.195.136,-,,,19195136.0,
Công ty TNHH Công nghiệp và Nông nghiệp Cao suHoàng Anh-Quang Minh,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Công nghiệp và Nông nghiệp Cao suHoàng Anh-Quang Minh,Công ty TNHH Công nghiệp và Nông nghiệp Cao suHoàng Anh-Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,1.538.997,-,,,1538997.0,
Công ty Cổ phần Nôngnghiệp Quốc tế Hoàng AnhGia Lai,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Nôngnghiệp Quốc tế Hoàng AnhGia Lai,Công ty Cổ phần Nôngnghiệp Quốc tế Hoàng AnhGia Lai,Công ty có cùng thành viên HĐQT,Lãi cho vay,-,21.999.386,,,,21999386.0
Các công ty khác,Phải thu dài hạn khác (TM số 9) > Các công ty khác,Các công ty khác,Bên liên quan,Lãi cho vay,-,1.561.389,,,,1561389.0
,,,,,233.221.894,115.557.606,,,233221894.0,115557606.0
