row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(300.905.956),(1.028.778.519),-300905956.0,-1028778519.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ,Các khoản điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,590.693.269,1.045.217.476,590693269.0,1045217476.0
Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,,
132/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định > 132/2020/NĐ-CP,132/2020/NĐ-CP,39.660.589,-,39660589.0,
Thu nhập từ chênh lệch tỷ giá chưa thực hiện,Điều chỉnh thuế TNDN theo Nghị định > Thu nhập từ chênh lệch tỷ giá chưa thực hiện,Thu nhập từ chênh lệch tỷ giá chưa thực hiện,5.272.700,1.885.903,5272700.0,1885903.0
Thu nhập cổ tức,Điều chỉnh thuế TNDN theo Nghị định > Thu nhập cổ tức,Thu nhập cổ tức,(79.956),-,-79956.0,
Khác,Điều chỉnh thuế TNDN theo Nghị định > Khác,Khác,21.107,6.288.895,21107.0,6288895.0
Lợi nhuận tính thuế ước tính trong nằm hiện hành,Điều chỉnh thuế TNDN theo Nghị định > Lợi nhuận tính thuế ước tính trong nằm hiện hành,Lợi nhuận tính thuế ước tính trong nằm hiện hành,334.661.753,24.613.755,334661753.0,24613755.0
Lỗ năm trước chuyển sang,Điều chỉnh thuế TNDN theo Nghị định > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(334.661.753),(24.613.755),-334661753.0,-24613755.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,-,,
Thuế TNDN phải trả đầu năm,Chi phí thuế TNDN hiện hành > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,65.230,65.230,65230.0,65230.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,-,,
Thuế TNDN phải trả cuối năm (TM số 18),Thuế TNDN đã trả trong năm > Thuế TNDN phải trả cuối năm (TM số 18),Thuế TNDN phải trả cuối năm (TM số 18),65.230,65.230,65230.0,65230.0
