row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn các bên liên quan (TM số 29) (i),Ngắn hạn > Cho vay ngắn hạn các bên liên quan (TM số 29) (i),Cho vay ngắn hạn các bên liên quan (TM số 29) (i),6.182.020.478,4.532.763.528,6182020478.0,4532763528.0
Cho vay ngắn hạn các bên khác (ii),Ngắn hạn > Cho vay ngắn hạn các bên khác (ii),Cho vay ngắn hạn các bên khác (ii),72.534.003,162.607.048,72534003.0,162607048.0
,,,6.254.554.481,4.695.370.576,6254554481.0,4695370576.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn các bên liên quan (TM số 29) (i),Dài hạn > Cho vay dài hạn các bên liên quan (TM số 29) (i),Cho vay dài hạn các bên liên quan (TM số 29) (i),2.441.079.159,2.573.947.288,2441079159.0,2573947288.0
Cho vay dài hạn các bên khác (ii),Dài hạn > Cho vay dài hạn các bên khác (ii),Cho vay dài hạn các bên khác (ii),500.000,500.000,500000.0,500000.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu (iii),16.983.365,17.230.477,16983365.0,17230477.0
,,,2.458.562.524,2.591.677.765,2458562524.0,2591677765.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.713.117.005,7.287.048.341,8713117005.0,7287048341.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(1.324.625.696),(1.748.914.571),-1324625696.0,-1748914571.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,7.388.491.309,5.538.133.770,7388491309.0,5538133770.0
