row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sảnkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sảnkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,227.679.188,19.357.265,32.425.240,3.177.751,6.689.440,108.060,289.436.944,227679188.0,19357265.0,32425240.0,3177751.0,6689440.0,108060.0,289436944.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,663.518,-,821.484,-,-,1.485.002,,663518.0,,821484.0,,,1485002.0
Xoá số trong năm,Nguyên giá > Xoá số trong năm,Xoá số trong năm,-,(566.154),-,(31.990),-,-,(598.144),,-566154.0,,-31990.0,,,-598144.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,227.679.188,19.454.629,32.425.240,3.967.245,6.689.440,108.060,290.323.802,227679188.0,19454629.0,32425240.0,3967245.0,6689440.0,108060.0,290323802.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,3.334.242,7.653.038,16.373.944,2.637.605,6.689.440,108.060,36.796.329,3334242.0,7653038.0,16373944.0,2637605.0,6689440.0,108060.0,36796329.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(74.903.472),(18.154.535),(26.212.286),(2.996.762),(6.689.440),(108.060),(129.064.555),-74903472.0,-18154535.0,-26212286.0,-2996762.0,-6689440.0,-108060.0,-129064555.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.216.118),(618.221),(1.349.087),(196.378),-,-,(8.379.804),-6216118.0,-618221.0,-1349087.0,-196378.0,,,-8379804.0
Xoá số trong năm,Giá trị khấu hao lũy kế > Xoá số trong năm,Xoá số trong năm,-,106.154,-,533,-,-,106.687,,106154.0,,533.0,,,106687.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(81.119.590),(18.666.602),(27.561.373),(3.192.607),(6.689.440),(108.060),(137.337.672),-81119590.0,-18666602.0,-27561373.0,-3192607.0,-6689440.0,-108060.0,-137337672.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,152.775.716,1.202.730,6.212.954,180.989,-,-,160.372.389,152775716.0,1202730.0,6212954.0,180989.0,,,160372389.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,146.559.598,788.027,4.863.867,774.638,-,-,152.986.130,146559598.0,788027.0,4863867.0,774638.0,,,152986130.0
Trong đó:Theếp chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 21 và 30),Giá trị còn lại > Trong đó:Theếp chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 21 và 30),Trong đó:Theếp chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 21 và 30),101.287.141,-,4.863.867,-,-,-,106.151.008,101287141.0,,4863867.0,,,,106151008.0
