row_label_raw,row_label_full,Tổ chức thu xếp phát hành > ACBS,Trái chủ > Công tyTNHH Dịchvụ Nôngnghiệp TâyNguyên,Số cuối nămNgàn VND > 300.000.000,"Lãi suất%/năm > Lãi suất tiền gửi kỳ hạn muroïiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biên đó 4,50(2021: 10,00)",Ngàyđảo hạn > Ngày 18 tháng6 năm 2023,Mục đích > Bỗ sung vốncho các dự ánđầu tư và táicấu trúc nợ vaycủa Tập đoàn,Tài sản thế chấp (TM số 14) > 40.000.000 cổ phiếu HNG thuộcsở hữu của Công ty.,numeric__Trái chủ > Công tyTNHH Dịchvụ Nôngnghiệp TâyNguyên,numeric__Số cuối nămNgàn VND > 300.000.000,"numeric__Lãi suất%/năm > Lãi suất tiền gửi kỳ hạn muroïiba (13) tháng của Ngân hàngThương mại Cổ phần TiênPhong cộng với biên đó 4,50(2021: 10,00)",numeric__Ngàyđảo hạn > Ngày 18 tháng6 năm 2023,numeric__Mục đích > Bỗ sung vốncho các dự ánđầu tư và táicấu trúc nợ vaycủa Tập đoàn,numeric__Tài sản thế chấp (TM số 14) > 40.000.000 cổ phiếu HNG thuộcsở hữu của Công ty.
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(283.173),,,,,,-283173.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,299.716.827,,,,,,299716827.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,299.716.827,,,,,,299716827.0,,,,
