row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng lập trong năm > Trừ: Hoàn nhập dự phòng trong năm,Năm nay > 8.579.854 > 47.573.306 > (4.190.938),Ngàn VNDNăm trước > 24.654.386 > - > (288.979),numeric__Năm nay > 8.579.854 > 47.573.306 > (4.190.938),numeric__Ngàn VNDNăm trước > 24.654.386 > - > (288.979)
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,-,(15.785.553),,-15785553.0
Số cuối năm,Số cuối năm,Số cuối năm,51.962.222,8.579.854,51962222.0,8579854.0
