row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi trả hộ,Ngắn hạn > Chi trả hộ,Chi trả hộ,831.598.722,711.029.198,831598722.0,711029198.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,471.380.112,152.642.354,471380112.0,152642354.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,28.664.855,18.081.410,28664855.0,18081410.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,5.721.198,2.833.527,5721198.0,2833527.0
,,,1.337.364.887,884.586.489,1337364887.0,884586489.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,233.466.561,115.741.438,233466561.0,115741438.0
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,514.680,2.366.841,514680.0,2366841.0
,,,233.981.241,118.108.279,233981241.0,118108279.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.571.346.128,1.002.694.768,1571346128.0,1002694768.0
Dự phòng phải thu khác khó đòi,Dài hạn > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(550.740.871),(150.300.795),-550740871.0,-150300795.0
GIÁ TRỊ THUẦN,Dài hạn > GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,1.020.605.257,852.393.973,1020605257.0,852393973.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn các bên liên quan (TM số 29),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 29),Phải thu ngắn hạn các bên liên quan (TM số 29),1.253.800.247,809.182.797,1253800247.0,809182797.0
Phải thu dài hạn các bên liên quan (TM số 29),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 29),Phải thu dài hạn các bên liên quan (TM số 29),233.221.894,115.557.606,233221894.0,115557606.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,84.323.987,77.954.365,84323987.0,77954365.0
