row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(5.649.837.069),7.167.909.848,9274679470.0,3263858784.0,-686640.0,279895303.0,-5649837069.0,7167909848.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(1.028.431.519),(1.028.431.519),,,,,-1028431519.0,-1028431519.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(6.678.268.588),6.139.478.329,9274679470.0,3263858784.0,-686640.0,279895303.0,-6678268588.0,6139478329.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),279.895.303,(6.678.268.588),6.139.478.329,9274679470.0,3263858784.0,-686640.0,279895303.0,-6678268588.0,6139478329.0
Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế (i),Năm nay > Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế (i),Sử dụng thăng dư vốn cổ phần để cán trừ với lỗ lũy kế (i),-,(3.263.858.784),-,-,3.263.858.784,-,,-3263858784.0,,,3263858784.0,
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(300.324.860),(300.324.860),,,,,-300324860.0,-300324860.0
Chi thủ lao HĐQT và Ban Giám đốc,Năm nay > Chi thủ lao HĐQT và Ban Giám đốc,Chi thủ lao HĐQT và Ban Giám đốc,-,-,-,-,(1.485.000),(1.485.000),,,,,-1485000.0,-1485000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,-,(686.640),279.895.303,(3.716.219.664),5.837.668.469,9274679470.0,,-686640.0,279895303.0,-3716219664.0,5837668469.0
