row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng lập trong năm > Trừ: Hoàn nhập dự phòng trong năm > Trừ: Xóa số dự phòng trong năm,Năm nay > 1.748.914.571 > 481.237.291 > (904.349.166) > (1.177.000),Ngàn VNDNăm trước > 4.447.830.498 > 1.121.998.712 > - > (309.523.936),numeric__Năm nay > 1.748.914.571 > 481.237.291 > (904.349.166) > (1.177.000),numeric__Ngàn VNDNăm trước > 4.447.830.498 > 1.121.998.712 > - > (309.523.936)
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,-,(3.511.390.703),,-3511390703.0
Số cuối năm,Số cuối năm,Số cuối năm,1.324.625.696,1.748.914.571,1324625696.0,1748914571.0
Trong đó:,Trong đó:,Trong đó:,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,762.455.900,1.748.914.571,762455900.0,1748914571.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,562.169.796,-,562169796.0,
