row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),,,,
Công ty TNHH Hoàng Anh Gia Lai Vientiane,Phải trả ngắn hạn khác (TM số 20) > Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty con,Thu hộ,22.769.750,22.769.750,,,22769750.0,22769750.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải trả ngắn hạn khác (TM số 20) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Thu hộ,10.415.275,-,,,10415275.0,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 20) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,HĐHTKD,-,100.000.000,,,,100000000.0
Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 20) > Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty con của Công ty có cùng thành viên HĐQT,Mượn tạm,-,9.408.242,,,,9408242.0
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 20) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,HĐHTKD,-,4.112.630,,,,4112630.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải trả ngắn hạn khác (TM số 20) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Thu hộ,-,1.812.809,,,,1812809.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 20) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mượn tạm,-,594.335,,,,594335.0
Các công ty khác,Phải trả ngắn hạn khác (TM số 20) > Các công ty khác,Các công ty khác,Bên liên quan,Khác,1.776.965,3.003.478,,,1776965.0,3003478.0
,,,,,34.961.990,141.701.244,,,34961990.0,141701244.0
