row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy vi tính,Ngàn VNDTổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy vi tính,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,25.278.179,15.171.973,40.450.152,25278179.0,15171973.0,40450152.0
Trong đó:Dã hao mòn hết,Nguyên giá > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,15.171.973,15.171.973,,15171973.0,15171973.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(13.889.902),(13.889.902),,-13889902.0,-13889902.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.282.071),(1.282.071),,-1282071.0,-1282071.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(15.171.973),(15.171.973),,-15171973.0,-15171973.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,25.278.179,1.282.071,26.560.250,25278179.0,1282071.0,26560250.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,25.278.179,-,25.278.179,25278179.0,,25278179.0
Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21 và 30),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21 và 30),Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21 và 30),25.278.179,-,25.278.179,25278179.0,,25278179.0
