row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Công ty Cổ phầnGia sức Lợ Pang,Công ty Cổ phầnGia sức Lợ Pang,Công ty Cổ phầnGia sức Lợ Pang,Công tyliên quan,Cho vayLãi cho vayBán hàng hóa vàcung cấp dịch vụBán tài sản cố địnhMua dịch vụ,1.088.916.83357.735.4723.692.2741.614.083413.533,------,,,1.0889168335773547e+37,
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty con,Cho vayLãi cho vayBán hàng hóa vàcung cấp dịch vụMua hàng hóaGóp vốn bằng khoản phải thu,462.746.48834.861.06640.272.13212.205.383-,149.794.154238.112.660130.807.275-1.822.042.563,,,,
Công ty TNHHDịch vụ Nôngnghiệp TâyNguyên,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty TNHHDịch vụ Nôngnghiệp TâyNguyên,Công ty TNHHDịch vụ Nôngnghiệp TâyNguyên,Công tyliên quan,Cho vayLãi cho vayMua hàng hóa,384.012.43024.690.7151.576.052,------,,,3.8401243024690717e+23,
Công ty TNHHHưng Thắng LợiGia Lai,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty TNHHHưng Thắng LợiGia Lai,Công ty TNHHHưng Thắng LợiGia Lai,Công ty con,Cho vayBán hàng hóa vàcung cấp dịch vụMua hàng hóa vàdịch vụLãi cho vayMua tài sản,311.743.480165.266.611159.077.41811.772.95297.364,439.321.000------46.333.985-,,,3.117434801652666e+39,
Công ty Cổ phầnLê Me,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty Cổ phầnLê Me,Công ty Cổ phầnLê Me,Công tyliên quan,Lãi cho vayCho vay,308.531.165161.506.120,293.053.596266.578.296,,,3.085311651615061e+17,2.930535962665783e+17
Ông Nguyễn KimLuân,Công ty Cổ phầnChăn nuôi Gia Lai > Ông Nguyễn KimLuân,Ông Nguyễn KimLuân,Bên liên quan,Cho vayLãi cho vay,114.260.0004.180.123,------,,,1142600004180123.0,
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịchHĐQT,Cho vayLãi cho vayChi phí lãiHĐHTKDChi hộCho mượn,104.042.0007.486.9031.755.556146.430-,------6.511.106--------7.005.607,,,,
