row_label_raw,row_label_full,Đầu tư mua cổ phiếu và các chứng từ có giá,Số lượng cổ phần sở hữu,Đơn giá tồn bình quân,Giá trị đầu tư tại ngày 31/12/2015,numeric__Số lượng cổ phần sở hữu,numeric__Đơn giá tồn bình quân,numeric__Giá trị đầu tư tại ngày 31/12/2015
Công ty CP Công nghiệp và Thương mại Lidovit,Công ty CP Công nghiệp và Thương mại Lidovit,Công ty CP Công nghiệp và Thương mại Lidovit,"28,960","9,661","279,784,766",28.96,9.661,
Công ty CP Phú Hữu Gia,Công ty CP Phú Hữu Gia,Công ty CP Phú Hữu Gia,"5,268,000","10,000","52,680,000,000",,10.0,
Công ty CP Quản lý Cụm Công nghiệp Trường Thành,Công ty CP Quản lý Cụm Công nghiệp Trường Thành,Công ty CP Quản lý Cụm Công nghiệp Trường Thành,"540,000","10,000","5,400,000,000",540.0,10.0,
Cộng,Cộng,Cộng,,,"58,359,784,766",,,
