row_label_raw,row_label_full,a),Tên các công ty con,Vốn điều lệ,Tỷ lệ vốn góp theo ĐKKD,Vốn phải góp,Vốn góp thực tế đến 31/12/2015,numeric__Tên các công ty con,numeric__Vốn điều lệ,numeric__Tỷ lệ vốn góp theo ĐKKD,numeric__Vốn phải góp,numeric__Vốn góp thực tế đến 31/12/2015
,,,Công ty CP Lâm nghiệp Trường Thành,"60,000,000,000",99%,"59,600,000,000","59,564,847,684",,,0.99,,
,,,Công ty CP Thương mại XNK Trường Thành DakNong,"50,000,000,000",98%,"48,950,000,000","18,950,000,000",,,0.98,,
,,,Công ty CP Lâm nghiệp Trường Thành (ĐakNông),"60,000,000,000",96%,"57,600,000,000","1,777,000,000",,,0.96,,
,,,Công ty CP Trường Thành (ĐL1),"30,000,000,000",70%,"21,000,000,000","21,000,000,000",,,0.7,,
,,,Công ty CP Chế biến Gỗ Trường Thành (ĐL2),"28,000,000,000",70%,"19,600,000,000","19,600,000,000",,,0.7,,
,,,Công ty CP Chế biến Gỗ Trường Thành (BD2),"126,239,000,000",64%,"81,000,000,000","81,000,000,000",,,0.64,,
,,,Công ty CP Công nghiệp Gỗ Trường Thành (TTI),"40,000,000,000",60%,"24,000,000,000","12,571,430,000",,,0.6,,
,,,Công ty CP Trường Thành Xanh (TTG),"100,000,000,000",60%,"60,000,000,000","53,347,393,305",,,0.6,,
,,,Công ty CP Ván Công nghiệp Trường Thành (BD3),"56,470,000,000",51%,"28,800,000,000","51,000,000,000",,,0.51,,
,,,Công ty TNHH Kỹ nghệ Gỗ Trường Thành (TTTD),"25,000,000,000",46%,"11,400,000,000","12,480,000,000",,,0.46,,
,,,Công ty CP Trồng rừng Trường Thành (TTDL4),"53,191,490,000",41%,"21,809,360,000","26,809,360,000",,,0.41,,
,,,Công ty CP Chế biến Gỗ Trường Thành M'drak,"10,000,000,000",,,"9,885,456,454",,,,,
,,,Cộng,,,,"367,985,487,443",,,,,
