row_label_raw,row_label_full,Bên liên quan,Mối liên kết,Số dư,Phải thu / (phải trả),numeric__Mối liên kết,numeric__Số dư,numeric__Phải thu / (phải trả)
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Phải trả khác,"(27,000,000,000)",,,
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Phải thu cho vay,"44,562,001,815",,,
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Phải thu khác,"2,604,632,775",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Phải trả,"(33,536,369,788)",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Phải thu cho vay,"39,329,000,000",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Phải thu khác,"14,346,630,334",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,Phải thu,"37,831,597,825",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,Phải trả khác,"(5,270,000,000)",,,
Công ty TNHH Kỹ nghệ Gỗ Trường Thành (TTTD),Công ty TNHH Kỹ nghệ Gỗ Trường Thành (TTTD),Công ty TNHH Kỹ nghệ Gỗ Trường Thành (TTTD),Công ty con,Phải trả,"(2,969,578,815)",,,
Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty con,Phải thu khác,"14,649,000,000",,,
