row_label_raw,row_label_full,Bên liên quan,Mối liên kết,Nội dung,Số tiền,numeric__Mối liên kết,numeric__Nội dung,numeric__Số tiền
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Cung cấp dịch vụ,"124,423,197",,,
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Bán hàng,"39,093,993,521",,,
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Bán nguyên vật liệu,"107,545,527,651",,,
Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty CP Trường Thành (TTDL1),Công ty con,Mua hàng,"(384,723,839,212)",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Cung cấp dịch vụ,"51,912,684",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Mua hàng,"(213,991,760,553)",,,
Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty CP Chế biến Gỗ Trường Thành (TTDL2),Công ty con,Nhận cung cấp dịch vụ,"(72,000,000)",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,Bán nguyên vật liệu,"42,898,417,747",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,Cung cấp dịch vụ,"783,861,259",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,Mua hàng,"(252,447,094,700)",,,
Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty CP Chế biến Gỗ Trường Thành (TTBD2),Công ty con,"Thuê nhà xưởng, thuê xe","(64,635,817,931)",,,
Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty con,Bán TSCĐ,"435,167,278",,,
Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty con,Bán nguyên vật liệu,"164,064,261,242",,,
Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty con,Mua hàng,"(251,865,082,099)",,,
Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty CP Ván Công nghiệp Trường Thành (TTBD3),Công ty con,Cung cấp dịch vụ,"62,400,000",,,
Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty con,Mua TSCĐ,"(128,265,626)",,,
Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty con,Nhận chi hộ,"(12,070,000)",,,
Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty con,Bán nguyên vật liệu,"4,228,089,784",,,
Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty con,Mua hàng,"(30,428,764,809)",,,
