row_label_raw,row_label_full,4.,Phải thu về cho vay ngắn hạn,Số cuối năm,Số đầu năm,numeric__Phải thu về cho vay ngắn hạn,numeric__Số cuối năm,numeric__Số đầu năm
,,,- Ông Phạm Thừa Tự,"280,000,000","280,000,000",,,
,,,- Công ty TNHH SX-XD-TM Đại Dương,"300,000,000","300,000,000",,,
,,,- Công ty TNHH XD Đồng Long,-,"5,048,576,000",,,
,,,- Công ty CP VL XD Trường Thành Phước An (TTPA),"9,506,757,500","1,040,000,000",,,
,,,- Công ty TNHH Trồng rừng Trường Thành Oji,"28,920,848,000","23,312,488,000",,,
,,,- Công ty Cổ phần Trồng rừng Trường Thành,"5,283,172,288","5,283,172,288",,,
,,,- Công ty CP Lâm nghiệp Trường Thành,"64,949,000,000","8,139,000,000",,,
,,,- Công ty CP Nông Lâm Công nghiệp Trường An,"5,000,000,000",-,,,
,,,- Công ty Cổ phần Trường Thành (DL1),"44,562,001,815",-,,,
,,,- Công ty Cổ phần Chế biến Gỗ Trường Thành (DL2),"39,329,000,000",-,,,
,,,- Công ty CP Chế biến Gỗ Trường Thành Mdrắk,"4,700,000,000",-,,,
,,,Cộng,"202,830,779,603","43,403,236,288",,,
