row_label_raw,row_label_full,9.,Chi phí khác,Năm 2015,Năm 2014,numeric__Chi phí khác,numeric__Năm 2015,numeric__Năm 2014
,,,"- Chi phí phát vi phạm hợp đồng,...","2,444,168,454","1,517,217,888",,,
,,,"- Phát vi phạm hành chính liên quan đến thuế, truy thu thuế, lãi chậmnộp thuế và lãi chậm nộp BHXH","8,379,503,746","3,300,928,401",,,
,,,- Chi phí tiền thường và hỗ trợ khai thác rừng,"2,398,750,000",-,,,
,,,- Thù lao HĐQT,"506,000,000","120,000,000",,,
,,,- Chi phí từ việc chi hộ,-,"1,371,670,200",,,
,,,- Xử lý công nợ khó đòi,-,"112,131,013",,,
,,,- Chi phí khác,"408,143,233","515,755,750",,,
,,,Cộng,"14,136,565,433","6,937,703,252",,,
