row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh.,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh.,numeric__Số cuối năm,numeric__Số đầu năm
A. Tài sản ngắn hạn,A. Tài sản ngắn hạn,A. Tài sản ngắn hạn,100,,"2,702,274,419,995","2,294,554,326,503",100.0,,,
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.01,"4,615,301,999","82,540,937,708",110.0,,,
1. Tiền,1. Tiền,1. Tiền,111,,"4,564,877,018","45,620,937,708",111.0,,,
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,"50,424,981","36,920,000,000",112.0,,,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,"116,330,930,061","12,147,000,000",120.0,,,
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,V.13.1,"116,330,930,061","12,147,000,000",123.0,,,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,"1,182,907,681,623","949,074,450,097",130.0,,,
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.02,"851,996,484,726","818,791,809,092",131.0,,,
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.03a,"39,301,495,813","26,139,450,397",132.0,,,
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,V.04,"202,830,779,603","43,403,236,288",135.0,,,
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,V.05a,"93,687,196,568","63,388,669,129",136.0,,,
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,V.08,"(4,908,860,109)","(2,649,299,831)",137.0,,,
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,"585,022","585,022",139.0,,585.022,585.022
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.06,"1,373,593,701,056","1,247,467,506,802",140.0,,,
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,"1,410,470,421,397","1,254,840,367,543",141.0,,,
