row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2015,Năm 2014,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,VI.01,2.495.800.672.097,1.859.711.292.497,1.0,,2495800672097.0,1859711292497.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,VI.02,369.836.768,1.601.983.108,2.0,,369836768.0,1601983108.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,2.495.430.835.329,1.858.109.309.389,10.0,,2495430835329.0,1858109309389.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.03,2.295.975.945.124,1.625.550.247.599,11.0,,2295975945124.0,1625550247599.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,199.454.890.205,232.559.061.790,20.0,,199454890205.0,232559061790.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.04,30.894.155.758,10.443.419.717,21.0,,30894155758.0,10443419717.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.05,70.692.843.863,88.875.261.469,22.0,,70692843863.0,88875261469.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,113.276.214.120,84.839.044.390,23.0,,113276214120.0,84839044390.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,VI.06,16.798.332.908,14.147.303.177,25.0,,16798332908.0,14147303177.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,VI.07,84.342.038.730,66.325.979.320,26.0,,84342038730.0,66325979320.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,58.515.830.462,73.653.937.540,30.0,,58515830462.0,73653937540.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,VI.08,95.731.334.925,6.309.543.307,31.0,,95731334925.0,6309543307.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,VI.09,14.136.565.433,6.937.703.252,32.0,,14136565433.0,6937703252.0
13. Lợi nhuận khác / (lỗ),13. Lợi nhuận khác / (lỗ),13. Lợi nhuận khác / (lỗ),40,,81.594.769.492,(628.159.945),40.0,,81594769492.0,-628159945.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,140.110.599.954,73.025.777.595,50.0,,140110599954.0,73025777595.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,VI.11,32.707.317.579,17.645.534.984,51.0,,32707317579.0,17645534984.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,73.197.355,-,52.0,,73197355.0,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,107.330.085.020,55.380.242.611,60.0,,107330085020.0,55380242611.0
