row_label_raw,row_label_full,(B) Các khoản đầu tư vào,Số lượng cp,Giá trị đầu tư,Giá trị dự phòng,Giá trị thuần,numeric__Số lượng cp,numeric__Giá trị đầu tư,numeric__Giá trị dự phòng,numeric__Giá trị thuần
Công ty CP Công nghiệp và Thương mại Lidovit,Công ty CP Công nghiệp và Thương mại Lidovit,Công ty CP Công nghiệp và Thương mại Lidovit,"28,960","279,784,766",-,"279,784,766",28.96,,,
Công ty CP Phú Hữu Gia,Công ty CP Phú Hữu Gia,Công ty CP Phú Hữu Gia,"5,268,000","52,680,000,000","(459,534,690)","52,220,465,310",,,,
Công ty CP Quản lý Cụm Công nghiệp Trường Thành,Công ty CP Phú Hữu Gia > Công ty CP Quản lý Cụm Công nghiệp Trường Thành,Công ty CP Quản lý Cụm Công nghiệp Trường Thành,"540,000","5,400,000,000","(104,239,264)","5,295,760,736",540.0,,,
Cộng,Cộng,Cộng,,"58,359,784,766","(B) (563,773,954)","57,796,010,812",,,,
