row_label_raw,row_label_full,12.,Chi phí trả trước,Số cuối năm,Số đầu năm,numeric__Chi phí trả trước,numeric__Số cuối năm,numeric__Số đầu năm
a),a),a),Ngắn hạn,,,,,
,,,"- Công cụ, dụng cụ xuất dùng chờ phân bổ","488,169,082","1,037,001,202",,,
,,,- Chi phí bảo hiểm trả trước chờ phân bổ,"362,781,782","236,219,285",,,
,,,- Chi phí chờ phân bổ khác,"182,591,441","95,065,834",,,
,,,Cộng,"1,033,542,305","1,368,286,321",,,
b),b),b),Dài hạn,,,,,
,,,- Công cụ dụng cụ xuất dùng có giá trị lớn chờ phân bổ,"15,394,044,249","1,554,463,357",,,
,,,- Chi phí sửa chữa chờ phân bổ,"310,783,363","195,941,727",,,
,,,- Chi phí thuê đất trả trước chờ phân bổ (*),"43,839,945,799","21,280,111,730",,,
,,,- Chi phí chờ phân bổ khác,"51,582,696","1,083,338",,,
,,,Cộng,"59,596,356,108","23,031,600,152",,,
