row_label_raw,row_label_full,col_0,01/01/2015,Tăng,Giám,31/12/2015,numeric__01/01/2015,numeric__Tăng,numeric__Giám,numeric__31/12/2015
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,"1,000,671,000,000","400,268,400,000",-,"1,400,939,400,000",,,,
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,"52,105,692,848",-,"306,850,000","51,798,842,848",,,,
Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,-,"6,743,618,619",-,"6,743,618,619",,,,
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,"(4,640,000)",-,-,"(4,640,000)",,,,
Các quỹ,Các quỹ,Các quỹ,"13,407,463,167","2,769,012,130",-,"16,176,475,297",,,,
LNST chưa phân phối,LNST chưa phân phối,LNST chưa phân phối,"106,303,693,858","107,330,085,020","25,395,629,112","188,238,149,767",,,,
Cộng,Cộng,Cộng,"1,172,483,209,873","517,111,115,769","25,702,479,112","1,663,891,846,530",,,,
