row_label_raw,row_label_full,"- Trích quỹ khen thưởng, phúc lợi năm 2014 > - Tạm trích quỹ khen thưởng, phúc lợi năm 2015 theo Nghị quyết HĐQT ngày 24/3/2016","3,876,616,982 > 18,750,000,000","numeric__3,876,616,982 > 18,750,000,000"
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,"2,769,012,130",
Cộng,Cộng,Cộng,"25,395,629,112",
