row_label_raw,row_label_full,"Tên các công ty liên kết, liên doanh",Vốn điều lệ,Tỷ lệ vốn góp,Vốn phải góp,Vốn góp thực tế đến 31/12/2015,numeric__Vốn điều lệ,numeric__Tỷ lệ vốn góp,numeric__Vốn phải góp,numeric__Vốn góp thực tế đến 31/12/2015
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,"7,018,000.00 USD",51.00%,(*),"94,930,473,000",,51.0,,
Công ty CP Bao bì Trường Thành,Công ty CP Bao bì Trường Thành,Công ty CP Bao bì Trường Thành,"6,500,000,000",23.08%,"1,500,000,000","2,000,000,000",,23.08,,
Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,"66,887,500,000",35.17%,"23,525,000,000","23,525,000,000",,35.17,,
Cộng,Cộng,Cộng,,,,"120,455,473,000",,,,
