row_label_raw,row_label_full,a),Ngắn hạn,Số đầu năm,Tăng,Giảm,Số cuối năm,numeric__Ngắn hạn,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__Số cuối năm
a),a),a),- Vay từ các ngân hàng (*),"1,211,165,149,577","945,900,947,650","1,515,753,724,334","641,312,372,894",,,,,
a),a),a),- Vay từ các tổ chức (**),"33,645,205,020",-,"1,190,000,000","32,455,205,020",,,,,
a),a),a),- Nợ dài hạn đến hạn trả,"2,000,000,000",,"2,000,000,000",-,,,,,
a),a),a),Cộng,"1,246,810,354,597","945,900,947,650","1,518,943,724,334","673,767,577,914",,,,,
b),b),b),Dài hạn,Số đầu năm,Tăng,Giảm,Số cuối năm,,,,,
b),b),b),Vay dài hạn ngân hàng,"21,490,750,000",-,"21,490,750,000",-,,,,,
b),b),b),- Nợ dài hạn đến hạn trả,"(2,000,000,000)",,"(2,000,000,000)",-,,,,,
b),b),b),Cộng,"19,490,750,000",-,"19,490,750,000",-,,,,,
,,,(*) Chi tiết khoản vay Ngân hàng,(*) Chi tiết khoản vay Ngân hàng,(*) Chi tiết khoản vay Ngân hàng,Số dư nợ vay,Gốc ngoại tệ,,,,,
,,,- Ngân hàng Đông Á - CN Bình Dương,- Ngân hàng Đông Á - CN Bình Dương,- Ngân hàng Đông Á - CN Bình Dương,"161,996,412,654",-,,,,,
,,,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,"57,220,634,438",-,,,,,
,,,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,- Ngân hàng TMCP Sài Gòn - Hà Nội - CN Phú Nhuận,"15,158,150,000","672,500.00",,,,,672.5
,,,- Ngân hàng TMCP Việt Á,- Ngân hàng TMCP Việt Á,- Ngân hàng TMCP Việt Á,"313,890,027,202",-,,,,,
,,,- Ngân hàng TMCP Việt Á,- Ngân hàng TMCP Việt Á,- Ngân hàng TMCP Việt Á,"93,047,148,600","4,128,090.00",,,,,
,,,Cộng,Cộng,Cộng,"641,312,372,894","4,800,590.00",,,,,
