row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Vốn điều lệ,Tỷ lệ góp vốn theo ĐKKD,Tỷ lệ góp vốn thực tế,numeric__Địa chỉ,numeric__Vốn điều lệ,numeric__Tỷ lệ góp vốn theo ĐKKD,numeric__Tỷ lệ góp vốn thực tế
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,"35 Quang Trung, phường Thống Nhất, tpBuôn Mê Thuột, tỉnh Đaklak","60,000,000,000",99.33%,99.97%,,,99.33,99.97
Công ty CP Lâm nghiệp Trường Thành Đắknông,Công ty CP Lâm nghiệp Trường Thành Đắknông,Công ty CP Lâm nghiệp Trường Thành Đắknông,"204 Trần Hưng Đạo, phường NghĩaThành, thị xã Gia Nghĩa, tỉnh Đắk nông","60,000,000,000",96.00%,99.44%,,,96.0,99.44
Công ty TNHH Kỹ Nghệ Gỗ Trường Thành,Công ty TNHH Kỹ Nghệ Gỗ Trường Thành,Công ty TNHH Kỹ Nghệ Gỗ Trường Thành,"Đào Trinh Nhất, KP 01, phường Linh Tây, quận Thủ Đức, Tp. HCM","25,000,000,000",45.60%,97.50%,,,45.6,97.5
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,"Cụm công nghiệp M'Dắk, Xã Krông Jing,Huyện M'Dắk, Tỉnh Đắk Lắk","10,000,000,000",-,95.30%,,,,95.3
Công ty CP Thương mại XNK Trường Thành Đắknông,Công ty CP Thương mại XNK Trường Thành Đắknông,Công ty CP Thương mại XNK Trường Thành Đắknông,"Thôn 3, xã Nhân Cơ, huyện Đắk R'Lắp,tỉnh Đắk Nông","50,000,000,000",97.90%,94.75%,,,97.9,94.75
Công ty CP Trường Thành (Đaklak 1),Công ty CP Trường Thành (Đaklak 1),Công ty CP Trường Thành (Đaklak 1),"Km 86, QL 14, xã Ea Ral, huyện EaH'leo, tỉnh ĐakLak","30,000,000,000",70.00%,70.00%,,,70.0,70.0
Công ty CP Chế biến Gỗ Trường Thành (Đaklak 2),Công ty CP Chế biến Gỗ Trường Thành (Đaklak 2),Công ty CP Chế biến Gỗ Trường Thành (Đaklak 2),"Thôn 05, xã Ea Ral, huyện Ea H'leo, tỉnhĐakLak","28,000,000,000",70.00%,70.00%,,,70.0,70.0
Công ty CP Chế biến Gỗ Trường Thành (Bình Dương 2),Công ty CP Chế biến Gỗ Trường Thành (Bình Dương 2),Công ty CP Chế biến Gỗ Trường Thành (Bình Dương 2),"KP 7, Phường Tân Uyên, Thị xã TânUyên, tỉnh Bình Dương","126,239,000,000",64.16%,64.16%,,,64.16,64.16
Công ty CP Công nghiệp Gỗ Trường Thành,Công ty CP Công nghiệp Gỗ Trường Thành,Công ty CP Công nghiệp Gỗ Trường Thành,"C8, KCN Hòa Hiệp, huyện Đông Hòa,tỉnh Phú Yên","40,000,000,000",60.00%,60.00%,,,60.0,60.0
Công ty CP Trồng rừng Trường Thành (*),Công ty CP Trồng rừng Trường Thành (*),Công ty CP Trồng rừng Trường Thành (*),"35 Quang Trung, phường Thống Nhất, tpBuôn Mê Thuột, tỉnh Đaklak","53,191,490,000",41.00%,46.07%,,,41.0,46.07
