row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2015,Năm 2014,numeric__Mã số,numeric__Năm 2015,numeric__Năm 2014
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,140.110.599.954,73.025.777.595,1.0,140110599954.0,73025777595.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
Khấu hao TSCĐ và BĐSDĐT,2. Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,6.064.805.755,4.450.758.754,2.0,6064805755.0,4450758754.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,22.938.901.843,271.409.077,3.0,22938901843.0,271409077.0
(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục,,,
tiền tệ có gốc ngoại tệ,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục > tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,04,(733.224.402),4.770.528.892,4.0,-733224402.0,4770528892.0
(Lãi) lỗ từ hoạt động đầu tư,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục > (Lãi) lỗ từ hoạt động đầu tư,(Lãi) lỗ từ hoạt động đầu tư,05,(27.461.189.078),4.683.565.617,5.0,-27461189078.0,4683565617.0
Chi phí lãi vay,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục > Chi phí lãi vay,Chi phí lãi vay,06,113.276.214.120,84.839.044.390,6.0,113276214120.0,84839044390.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,254.196.108.193,172.041.084.325,8.0,254196108193.0,172041084325.0
