row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Cen Thanh Hóa,Công ty Cổ phần Cen Thanh Hóa,Công ty Cổ phần Cen Thanh Hóa,Tỉnh Thanh Hóa,51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Hải Phòng,Công ty Cổ phần Cen Hải Phòng,Công ty Cổ phần Cen Hải Phòng,Thành phố Hải Phòng,51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Nghệ An,Công ty Cổ phần Cen Nghệ An,Công ty Cổ phần Cen Nghệ An,Tỉnh Nghệ An,80%,80%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.8,0.8,
Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,Tỉnh Khánh Hòa,51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,Tỉnh Quảng Ninh,51%,51%,"Môi giới, tư vấn, quản lý bất động sản và các ngành nghề hỗ trợ, liên quan khác.",,0.51,0.51,
Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,Thành phố Phan Thiết,51%,51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,Thành phố Quy Nhơn,51%,51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,Thành phố Hà Nội,75%,75%,"Hoạt động tư vấn đầu tư, tư vấn quản lý;Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.75,0.75,
Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,Thành phố Hà Nội,100%,51%,"Thương mại điện tử;Dịch vụ du lịch, lưu trú;Môi giới, tư vấn bất động sản;Các nhóm ngành liên quan khác.",,1.0,0.51,
Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,Thành phố Hạ Long,"52,58%",51%,"Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.5257999999999999,0.51,
Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,"Thành phố Thủ Dầu Một, tỉnh Bình Dương","51,00%","51,00%","Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.51,0.51,
Công ty Cổ phần Cen Cần Thơ (****),Công ty Cổ phần Cen Cần Thơ (****),Công ty Cổ phần Cen Cần Thơ (****),Thành phố Cần Thơ,"34,44%","51,00%","Dịch vụ tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất.",,0.3444,0.51,
