row_label_raw,row_label_full,Diễn giải,Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,Các điều chỉnh theo giá trị hợp lý (a),Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát,numeric__Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,numeric__Các điều chỉnh theo giá trị hợp lý (a),numeric__Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát
,,,VND,VND,VND,,,
Tài sản,Tài sản,Tài sản,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,30.611.540,-,30.611.540,30611540.0,,30611540.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,1.450.000.001,-,1.450.000.001,1450000001.0,,1450000001.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,535.180.867,-,535.180.867,535180867.0,,535180867.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,2.015.792.408,-,2.015.792.408,2015792408.0,,2015792408.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,-,-,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,2.000.000,-,2.000.000,2000000.0,,2000000.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,2.000.000,-,2.000.000,2000000.0,,2000000.0
Tổng giá trị tài sản thuần,Nợ phải trả > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,2.013.792.408,,2.013.792.408,2013792408.0,,2013792408.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,,,,
Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (51%),Lợi ích của cổ đông không kiểm soát > Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (51%),Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (51%),,,1.027.034.128,,,1027034128.0
Tổng giá phí của khoản đầu tư này,Lợi ích của cổ đông không kiểm soát > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,,2.550.000.000,,,2550000000.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 17),Lợi ích của cổ đông không kiểm soát > Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 17),Lợi thế thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh số 17),,,1.522.965.872,,,1522965872.0
