row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phân mềm máy tính,Tài sản cổ định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phân mềm máy tính,numeric__Tài sản cổ định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.995.200.171,162.329.915.769,374.727.273,174.699.843.213,11995200171.0,162329915769.0,374727273.0,174699843213.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,37.141.029.498,-,37.141.029.498,,37141029498.0,,37141029498.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,5.000.000.000,-,5.000.000.000,,5000000000.0,,5000000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.995.200.171,204.470.945.267,374.727.273,216.840.872.711,11995200171.0,204470945267.0,374727273.0,216840872711.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,98.153.662.086,374.727.273,98.528.389.359,,98153662086.0,374727273.0,98528389359.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,,30.480.596.290,,30.480.596.290,,30480596290.0,,30480596290.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,-,833.333.334,-,833.333.334,,833333334.0,,833333334.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,129.467.591.710,374.727.273,129.842.318.983,,129467591710.0,374727273.0,129842318983.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.995.200.171,64.176.253.683,-,76.171.453.854,11995200171.0,64176253683.0,,76171453854.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.995.200.171,75.003.353.557,-,86.998.553.728,11995200171.0,75003353557.0,,86998553728.0
