row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,2.070.648.181,58.912.823.732,17.946.214.121,195.409.596.595,116479910561.0,2070648181.0,58912823732.0,17946214121.0,195409596595.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,-,972.094.000,972.094.000,,,,972094000.0,972094000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(8.035.753.091),-,(8.035.753.091),,,-8035753091.0,,-8035753091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,2.070.648.181,50.877.070.641,18.918.308.121,188.345.937.504,116479910561.0,2070648181.0,50877070641.0,18918308121.0,188345937504.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.988.106.848,1.403.017.760,25.066.155.480,14.179.006.755,57.636.286.843,16988106848.0,1403017760.0,25066155480.0,14179006755.0,57636286843.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.278.555.277,297.533.665,6.337.780.035,2.116.959.999,14.030.828.976,5278555277.0,297533665.0,6337780035.0,2116959999.0,14030828976.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,-,4.390.053,-,(4.390.053),-,,4390053.0,,-4390053.0,
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(5.161.357.340),-,(5.161.357.340),,,-5161357340.0,,-5161357340.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,-,-,-,6.250.002,6.250.002,,,,6250002.0,6250002.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.266.662.125,1.704.941.478,26.242.578.175,16.297.826.703,66.512.008.481,22266662125.0,1704941478.0,26242578175.0,16297826703.0,66512008481.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,99.491.803.713,667.630.421,33.846.668.252,3.767.207.366,137.773.309.752,99491803713.0,667630421.0,33846668252.0,3767207366.0,137773309752.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,94.213.248.436,365.706.703,24.634.492.466,2.620.481.418,121.833.929.023,94213248436.0,365706703.0,24634492466.0,2620481418.0,121833929023.0
