row_label_raw,row_label_full,Theo lĩnh vực kinh doanh,Theo lĩnh vực kinh doanh_1,Theo lĩnh vực kinh doanh_2,Theo lĩnh vực kinh doanh_3,Theo lĩnh vực kinh doanh_4,numeric__Theo lĩnh vực kinh doanh_1,numeric__Theo lĩnh vực kinh doanh_2,numeric__Theo lĩnh vực kinh doanh_3,numeric__Theo lĩnh vực kinh doanh_4
,,,Hoạt động môi giới bắt động sản,Hoạt động chuyển nhượng bắt động,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,,,,
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,327.923.481.785,490.258.889.962,115.566.170.101,933.748.541.848,327923481785.0,490258889962.0,115566170101.0,933748541848.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,207.463.310.202,456.591.862.271,86.801.691.824,750.856.864.297,207463310202.0,456591862271.0,86801691824.0,750856864297.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,120.460.171.583,33.667.027.691,28.764.478.277,182.891.677.551,120460171583.0,33667027691.0,28764478277.0,182891677551.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,38.113.123.498,,,,38113123498.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.060.957.344.472,4.384.287.283.343,168.799.675.857,6.614.044.303.672,2060957344472.0,4384287283343.0,168799675857.0,6614044303672.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,487.233.839.000,,,,487233839000.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.060.957.344.472,4.384.287.283.343,168.799.675.857,7.101.278.142.672,2060957344472.0,4384287283343.0,168799675857.0,7101278142672.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,352.391.590.209,374.405.076.410,58.585.666.970,785.382.333.589,352391590209.0,374405076410.0,58585666970.0,785382333589.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,695.361.289.694,,,,695361289694.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,352.391.590.209,374.405.076.410,58.585.666.970,1.480.743.623.283,352391590209.0,374405076410.0,58585666970.0,1480743623283.0
