row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nãmdến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nãmdến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,
Tiền,Tại ngày 31/12/2023 > Tiền,Tiền,108.963.756.261,-,-,108.963.756.261,108963756261.0,,,108963756261.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2023 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",3.484.040.739.523,1.750.296.744.036,-,5.234.337.483.559,3484040739523.0,1750296744036.0,,5234337483559.0
Các khoản cho vay,Tại ngày 31/12/2023 > Các khoản cho vay,Các khoản cho vay,632.333.442.811,-,-,632.333.442.811,632333442811.0,,,632333442811.0
,,,4.225.337.938.595,1.750.296.744.036,-,5.975.634.682.631,4225337938595.0,1750296744036.0,,5975634682631.0
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,,,,
Tiền,Tại ngày 01/01/2023 > Tiền,Tiền,83.054.856.171,-,-,83.054.856.171,83054856171.0,,,83054856171.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2023 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",3.480.767.020.671,2.103.585.619.985,-,5.584.352.640.656,3480767020671.0,2103585619985.0,,5584352640656.0
Các khoản cho vay,Tại ngày 01/01/2023 > Các khoản cho vay,Các khoản cho vay,858.180.069.863,-,-,858.180.069.863,858180069863.0,,,858180069863.0
,,,4.422.001.946.705,2.103.585.619.985,-,6.525.587.566.690,4422001946705.0,2103585619985.0,,6525587566690.0
