row_label_raw,row_label_full,8. PHẢI THU VỀ CHO VAY NGẢN HẠN,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_1,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_2,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_3,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_4,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_5,8. PHẢI THU VỀ CHO VAY NGẢN HẠN_6,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_1,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_2,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_3,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_4,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_5,numeric__8. PHẢI THU VỀ CHO VAY NGẢN HẠN_6
,,,01/01/2023,01/01/2023,Trong năm,Trong năm,31/12/2023,31/12/2023,,,,,,
,,,Giá trị,Dự phòng,Tăng,Giám,Giá trị,Dự phòng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,223.500.000.000,-,59.950.000.000,186.050.000.000,97.400.000.000,-,223500000000.0,,59950000000.0,186050000000.0,97400000000.0,
- Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế Kỳ,- Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế Kỳ,- Công ty Cổ phần Đầu tư và Phát triển Bắt động sản Thế Kỳ,223.500.000.000,-,14.500.000.000,174.600.000.000,63.400.000.000,-,223500000000.0,,14500000000.0,174600000000.0,63400000000.0,
- Công ty Cổ phần Tập đoàn Thế kỳ,- Công ty Cổ phần Tập đoàn Thế kỳ,- Công ty Cổ phần Tập đoàn Thế kỳ,-,-,45.450.000.000,11.450.000.000,34.000.000.000,-,,,45450000000.0,11450000000.0,34000000000.0,
Bên khác,Bên khác,Bên khác,394.703.700.000,-,28.845.526.069,2.496.153.121,421.053.072.948,-,394703700000.0,,28845526069.0,2496153121.0,421053072948.0,
- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,3.760.700.000,-,-,-,3.760.700.000,-,3760700000.0,,,,3760700000.0,
- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,- Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,351.943.000.000,-,-,-,351.943.000.000,-,351943000000.0,,,,351943000000.0,
- Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,39.000.000.000,-,-,-,39.000.000.000,-,39000000000.0,,,,39000000000.0,
- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,-,-,13.895.526.069,2.496.153.121,11.399.372.948,-,,,13895526069.0,2496153121.0,11399372948.0,
- Công ty Cổ phần VMF,- Công ty Cổ phần VMF,- Công ty Cổ phần VMF,-,-,14.950.000.000,-,14.950.000.000,-,,,14950000000.0,,14950000000.0,
,,,618.203.700.000,-,88.795.526.069,188.546.153.121,518.453.072.948,-,618203700000.0,,88795526069.0,188546153121.0,518453072948.0,
