row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ bied quyết,Hoạt động kinh doanh sัน,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ bied quyết,numeric__Hoạt động kinh doanh sัน
Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Thành phố Hà Nội,100%,100%,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê. Tư vấn, môi giới, quản lý, quảng cáo bất động sản.",,1.0,1.0,
Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần truyền thông và Giải trí Ngôi Sao Mới,Thành phố Hà Nội,80%,80%,"Cung cấp dịch vụ khai thác giá trị gia tăng trên mạng internet, quảng cáo, tổ chức giới thiệu xúc tiến thương mại, nghiên cứu thị trường.",,0.8,0.8,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Thành phố Hà Nội,80%,80%,"Kinh doanh bất động sản, quyền sử dụng đất, thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; tư vấn môi giới, quản lý, quảng cáo bất động sản.",,0.8,0.8,
Công ty TNHH Cen Prime,Công ty TNHH Cen Prime,Công ty TNHH Cen Prime,Thành phố Hà Nội,100%,100%,Môi giới bất động sản; sàn giao dịch bất động sản; tư vấn và quản lý bất động sản; tư vấn quản lý; dịch vụ hỗ trợ tài chính.,,1.0,1.0,
Công ty Cổ phần Cen Cuckoo,Công ty Cổ phần Cen Cuckoo,Công ty Cổ phần Cen Cuckoo,Thành phố Hà Nội,100%,100%,"Dịch vụ tư vấn, môi giới, đầu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,1.0,
Công ty Cổ phần Cen Academy,Công ty Cổ phần Cen Academy,Công ty Cổ phần Cen Academy,Thành phố Hà Nội,56%,56%,"Đào tạo, bồi dưỡng kiến thức hành nghề môi giới bất động sản.",,0.56,0.56,
Công ty TNHH Quản lý Đối tác Liên kết Cen (*),Công ty TNHH Quản lý Đối tác Liên kết Cen (*),Công ty TNHH Quản lý Đối tác Liên kết Cen (*),Thành phố Hà Nội,100%,100%,"Dịch vụ tư vấn, môi giới, đầu giá bất động sản, đấu giá quyền sử dụng đất.",,1.0,1.0,
Công ty Cổ phần Cen HCM (**),Công ty Cổ phần Cen HCM (**),Công ty Cổ phần Cen HCM (**),Thành phố Hồ Chí Minh,100%,94%,"Kinh doanh bất động sản, dịch vụ bất động sản; xây dựng; kinh doanh nhà hàng và các dịch vụ liên quan khác.",,1.0,0.94,
Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group (***),Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group (***),Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phó Xanh Group (***),Thành phố Hà Nội,51%,51%,"Tư vấn, môi giới, đầu giá bất động sản, đấu giá quyền sử dụng đất (trừ hoạt động dấu giá).",,0.51,0.51,
