row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Vườn câylâu năm,Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Vườn câylâu năm,numeric__Tài sản cố địnhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,290.594.695.810,14.372.554.390,14.595.666.484,688.949.109,175.885.082.455,1.942.805.303,498.079.753.551,290594695810.0,14372554390.0,14595666484.0,688949109.0,175885082455.0,1942805303.0,498079753551.0
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,-,-,-,346.000.000,-,-,346.000.000,,,,346000000.0,,,346000000.0
Góp vốn,Nguyên giá > Góp vốn,Góp vốn,42.423.389.416,3.200.000.000,-,-,-,,45.623.389.416,42423389416.0,3200000000.0,,,,,45623389416.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,248.171.306.394,11.172.554.390,14.595.666.484,1.034.949.109,175.885.082.455,1.942.805.303,452.802.364.135,248171306394.0,11172554390.0,14595666484.0,1034949109.0,175885082455.0,1942805303.0,452802364135.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,,,,,
Số đầu kỳ,Khẩu hao > Số đầu kỳ,Số đầu kỳ,28.618.708.382,8.597.654.659,13.011.519.431,549.807.176,9.063.717.272,587.785.213,60.429.192.133,28618708382.0,8597654659.0,13011519431.0,549807176.0,9063717272.0,587785213.0,60429192133.0
Khẩu hao trong kỳ,Khẩu hao > Khẩu hao trong kỳ,Khẩu hao trong kỳ,10.109.574.085,663.041.030,403.876.112,144.363.631,8.795.003.952,195.928.404,20.311.787.214,10109574085.0,663041030.0,403876112.0,144363631.0,8795003952.0,195928404.0,20311787214.0
Góp vốn,Khẩu hao > Góp vốn,Góp vốn,2.419.833.858,203.555.558,-,-,-,-,2.623.389.416,2419833858.0,203555558.0,,,,,2623389416.0
Số cuối kỳ,Khẩu hao > Số cuối kỳ,Số cuối kỳ,36.308.448.609,9.057.140.131,13.415.395.543,694.170.807,17.858.721.224,783.713.617,78.117.589.931,36308448609.0,9057140131.0,13415395543.0,694170807.0,17858721224.0,783713617.0,78117589931.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,261.975.987.428,5.774.899.731,1.584.147.053,139.141.933,166.821.365.183,1.355.020.090,437.650.561.418,261975987428.0,5774899731.0,1584147053.0,139141933.0,166821365183.0,1355020090.0,437650561418.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,211.862.857.785,2.115.414.259,1.180.270.941,340.778.302,158.026.361.231,1.159.091.686,374.684.774.204,211862857785.0,2115414259.0,1180270941.0,340778302.0,158026361231.0,1159091686.0,374684774204.0
