row_label_raw,row_label_full,Stt,Tên Công ty,Vốn điều lệ của các Công ty nhận đầu tư VND,Trong đó: Công ty cam kết góp: > Tỷ lệ %,Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,Vốn góp thực tế (theo mệnh giá) của Công ty đến ngày 31/12/2020 VND,Vốn góp thiếu VND,numeric__Tên Công ty,numeric__Vốn điều lệ của các Công ty nhận đầu tư VND,numeric__Trong đó: Công ty cam kết góp: > Tỷ lệ %,numeric__Trong đó: Công ty cam kết góp: > Vốn cam kết góp VND,numeric__Vốn góp thực tế (theo mệnh giá) của Công ty đến ngày 31/12/2020 VND,numeric__Vốn góp thiếu VND
I.,I.,I.,Các Công ty con,1.963.491.831.456,,1.589.767.895.508,1.517.247.595.508,72.520.300.000,,1963491831456.0,,1589767895508.0,1517247595508.0,72520300000.0
1.,1.,1.,Công ty CP ĐT và KD Bất động sản ĐLGL,601.000.000.000,"84,03%",505.000.000.000,505.000.000.000,-,,601000000000.0,0.8403,505000000000.0,505000000000.0,
2.,2.,2.,Công ty CP BOT và BT Đức Long Đắk Nông,250.000.000.000,"70,60%",176.500.000.000,176.500.000.000,-,,250000000000.0,0.706,176500000000.0,176500000000.0,
3.,3.,3.,Công ty CP BOT và BT Đức Long Gia Lai,203.810.000.000,"73,50%",149.800.000.000,149.800.000.000,-,,203810000000.0,0.735,149800000000.0,149800000000.0,
4.,4.,4.,Công ty CP Bến xe Liên tỉnh Phía Nam Thành phố Đà Nẵng,75.000.000.000,"99,33%",74.500.000.000,1.979.700.000,72.520.300.000,,75000000000.0,0.9933,74500000000.0,1979700000.0,72520300000.0
5.,5.,5.,Công ty CP Năng lượng Tân Thượng,155.000.000.000,"88,00%",136.400.000.000,136.400.000.000,-,,155000000000.0,0.88,136400000000.0,136400000000.0,
6.,6.,6.,Công ty Mass Noble Investment Limited,320.062.401.456,"97,73%",312.796.985.508,312.796.985.508,-,,320062401456.0,0.9773000000000001,312796985508.0,312796985508.0,
7.,7.,7.,Công ty Cổ phần Cà phê Gia Lai,146.763.000.000,"51,00%",74.849.130.000,74.849.130.000,-,,146763000000.0,0.51,74849130000.0,74849130000.0,
8.,8.,8.,Công ty Cổ phần Chè Biển Hồ,89.356.430.000,"51,00%",45.571.780.000,45.571.780.000,-,,89356430000.0,0.51,45571780000.0,45571780000.0,
9.,9.,9.,Công ty CP Đầu tư và Phát triển Điện Năng ĐLGL,122.500.000.000,"93,35%",114.350.000.000,114.350.000.000,-,,122500000000.0,0.9335,114350000000.0,114350000000.0,
II.,II.,II.,Các Công ty liên kết,20.241.000.000,,7.504.200.000,592.200.000,6.912.000.000,,20241000000.0,,7504200000.0,592200000.0,6912000000.0
1.,1.,1.,Công ty CP Tư vấn và Xây dựng GT Gia Lai,2.961.000.000,"20,00%",592.200.000,592.200.000,-,,2961000000.0,0.2,592200000.0,592200000.0,
2.,2.,2.,Công ty CP Đức Long Tây Nguyên,15.000.000.000,"40,00%",6.000.000.000,-,6.000.000.000,,15000000000.0,0.4,6000000000.0,,6000000000.0
3.,3.,3.,Công ty CP DLG CY Việt Nam,2.280.000.000,"40,00%",912.000.000,-,912.000.000,,2280000000.0,0.4,912000000.0,,912000000.0
III.,III.,III.,Các Công ty đầu tư dài hạn,12.000.000.000,,480.000.000,480.000.000,-,,12000000000.0,,480000000.0,480000000.0,
,,,Công ty CP DVCC Đức Long Bảo Lộc,12.000.000.000,"4,00%",480.000.000,480.000.000,-,,12000000000.0,0.04,480000000.0,480000000.0,
Cộng,Cộng,Cộng,Cộng,1.995.732.831.456,,1.597.752.095.508,1.518.319.795.508,79.432.300.000,,1995732831456.0,,1597752095508.0,1518319795508.0,79432300000.0
