row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.609.663.982,-,5.609.663.982,5609663982.0,,5609663982.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,282.248.906.010,-,282.248.906.010,282248906010.0,,282248906010.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,488.697.694.289,1.365.329.809.996,1.854.027.504.285,488697694289.0,1365329809996.0,1854027504285.0
Phải thu khác,Phải thu khác,Phải thu khác,159.194.100.928,1.268.670.000,160.462.770.928,159194100928.0,1268670000.0,160462770928.0
Cộng,Cộng,Cộng,935.750.365.209,1.366.598.479.996,2.302.348.845.205,935750365209.0,1366598479996.0,2302348845205.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.534.697.168,-,13.534.697.168,13534697168.0,,13534697168.0
Chứng khoán kinh doanh,01/01/2020 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,245.807.632.154,-,245.807.632.154,245807632154.0,,245807632154.0
Phải thu khách hàng,01/01/2020 > Phải thu khách hàng,Phải thu khách hàng,374.607.707.154,-,374.607.707.154,374607707154.0,,374607707154.0
Phải thu về cho vay,01/01/2020 > Phải thu về cho vay,Phải thu về cho vay,1.016.829.982.714,989.928.903.782,2.006.758.886.496,1016829982714.0,989928903782.0,2006758886496.0
Phải thu khác,01/01/2020 > Phải thu khác,Phải thu khác,158.746.056.138,1.268.670.000,160.014.726.138,158746056138.0,1268670000.0,160014726138.0
Cộng,01/01/2020 > Cộng,Cộng,1.809.526.075.328,991.197.573.782,2.800.723.649.110,1809526075328.0,991197573782.0,2800723649110.0
