row_label_raw,row_label_full,Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam,Môi quan hệ > Chung cổ đông lớn,31/12/2020 > 494.000.000,01/01/2020 > 17.461.700.000,numeric__Môi quan hệ > Chung cổ đông lớn,numeric__31/12/2020 > 494.000.000,numeric__01/01/2020 > 17.461.700.000
Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty con của bên liên quan,45.545.383.927,21.333.635.648,,45545383927.0,21333635648.0
Cộng,Cộng,Cộng,,46.039.383.927,38.795.335.648,,46039383927.0,38795335648.0
