row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,88.361.955.108,145.360.574.671,233.722.529.779,88361955108.0,145360574671.0,233722529779.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",66.720.417.973,-,66.720.417.973,66720417973.0,,66720417973.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,21.641.537.135,145.360.574.671,167.002.111.806,21641537135.0,145360574671.0,167002111806.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Số đầu kỳ,Khấu hao lũy kế > Số đầu kỳ,Số đầu kỳ,162.455.035,39.249.164.129,39.411.619.164,162455035.0,39249164129.0,39411619164.0
Khấu hao trong kỳ,Khấu hao lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,317.333.305,5.005.802.464,5.323.135.769,317333305.0,5005802464.0,5323135769.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,479.788.340,44.254.966.593,44.734.754.933,479788340.0,44254966593.0,44734754933.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,88.199.500.073,106.111.410.542,194.310.910.615,88199500073.0,106111410542.0,194310910615.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,21.161.748.795,101.105.608.078,122.267.356.873,21161748795.0,101105608078.0,122267356873.0
