row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,251.705.736.970,-,251.705.736.970,251705736970.0,,251705736970.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,263.161.937.404,-,263.161.937.404,263161937404.0,,263161937404.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.034.220.822.518,339.716.762.779,1.373.937.585.297,1034220822518.0,339716762779.0,1373937585297.0
Phải trả khác,Phải trả khác,Phải trả khác,325.761.728.556,90.000.000,325.851.728.556,325761728556.0,90000000.0,325851728556.0
Cộng,Cộng,Cộng,1.874.850.225.448,339.806.762.779,2.214.656.988.227,1874850225448.0,339806762779.0,2214656988227.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2020 > Phải trả người bán,Phải trả người bán,345.077.482.828,-,345.077.482.828,345077482828.0,,345077482828.0
Chi phí phải trả,01/01/2020 > Chi phí phải trả,Chi phí phải trả,111.992.519.467,-,111.992.519.467,111992519467.0,,111992519467.0
Vay và nợ thuê tài chính,01/01/2020 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.089.346.852.035,380.674.204.775,1.470.021.056.810,1089346852035.0,380674204775.0,1470021056810.0
Phải trả khác,01/01/2020 > Phải trả khác,Phải trả khác,287.683.143.597,90.000.000,287.773.143.597,287683143597.0,90000000.0,287773143597.0
Cộng,01/01/2020 > Cộng,Cộng,1.834.099.997.927,380.764.204.775,2.214.864.202.702,1834099997927.0,380764204775.0,2214864202702.0
