row_label_raw,row_label_full,Mục đích sử dụng vốn,Phương án sử dụng vốn(sau điều chỉnh),Vốn đã sử dụng đến 31/12/2020,Vốn chưa sử dụng,numeric__Phương án sử dụng vốn(sau điều chỉnh),numeric__Vốn đã sử dụng đến 31/12/2020,numeric__Vốn chưa sử dụng
"Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt",117.821.056.733,117.821.056.733,-,117821056733.0,117821056733.0,
Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,150.000.000.000,150.000.000.000,-,150000000000.0,150000000000.0,
Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,232.178.943.267,232.178.943.267,-,232178943267.0,232178943267.0,
Cộng,Cộng,Cộng,500.000.000.000,500.000.000.000,-,500000000000.0,500000000000.0,
