row_label_raw,row_label_full,Các khoản vay tài trợ cho Nhà máy Nhiệt điện Vũng Áng 1 nhận bản giao từ Tập đoàn Dẫu khí Việt Nam (i) > Ngân hàng TMCP Đại chúng Việt Nam (ii) > Ngân hàng TMCP Ngoại thương Việt Nam (iii),Số cuối nămVND > 11.450.214.577.237 > 1.868.440.226.086 > 1.236.521.232.099,Số đầu nămVND > 14.411.475.537.982 > 2.038.298.426.086 > 1.859.282.752.702,numeric__Số cuối nămVND > 11.450.214.577.237 > 1.868.440.226.086 > 1.236.521.232.099,numeric__Số đầu nămVND > 14.411.475.537.982 > 2.038.298.426.086 > 1.859.282.752.702
Ngân hàng TMCP Sài Gòn - Hà Nội (iv),Ngân hàng TMCP Sài Gòn - Hà Nội (iv),Ngân hàng TMCP Sài Gòn - Hà Nội (iv),843.129.639.967,922.110.846.935,843129639967.0,922110846935.0
Ngân hàng Credit Agricole CIB (v),Ngân hàng Credit Agricole CIB (v),Ngân hàng Credit Agricole CIB (v),263.480.625.000,528.240.000.000,263480625000.0,528240000000.0
,,,15.661.786.300.389,19.759.407.563.705,15661786300389.0,19759407563705.0
