row_label_raw,row_label_full,CHI TIEU,M3 Thuyet > s6,M3 Thuyet > mth,Nam nay,Nam tru#ec,numeric__M3 Thuyet > s6,numeric__M3 Thuyet > mth,numeric__Nam nay,numeric__Nam tru#ec
1. Down thu ban hang va cung cap dich yü,1. Down thu ban hang va cung cap dich yü,1. Down thu ban hang va cung cap dich yü,01,25,"20,905,815,985,979","18,247,993,589,135",1.0,25.0,,
2. Down thu thuan ve ban hang va cung cap,2. Down thu thuan ve ban hang va cung cap,2. Down thu thuan ve ban hang va cung cap,10,,"20,905,815,985,979","18,247,993,589,135",10.0,,,
3. Gild von hang ban va dich vü cung cap,3. Gild von hang ban va dich vü cung cap,3. Gild von hang ban va dich vü cung cap,11,26,"18,126,326,782,345","16,412,083,691,853",11.0,26.0,,
dich vü (10=01),dich vü (10=01),dich vü (10=01),,,,,,,,
dich vü (10=01),dich vü (10=01),dich vü (10=01),,,,,,,,
3. Gild von hang ban va dich vü cung cap,dich vü (10=01) > 3. Gild von hang ban va dich vü cung cap,3. Gild von hang ban va dich vü cung cap,11,26,"18,126,326,782,345","16,412,083,691,853",11.0,26.0,,
4. Löl nhüun gõp ve ben hanging va cung cap,dich vü (10=01) > 4. Löl nhüun gõp ve ben hanging va cung cap,4. Löl nhüun gõp ve ben hanging va cung cap,20,,"2,779,489,203,634","1,835,909,897,282",20.0,,,
dich vü (20=10-11),dich vü (20=10-11),dich vü (20=10-11),,,,,,,,
5. Doanh thu hoat döning tai chithin,dich vü (20=10-11) > 5. Doanh thu hoat döning tai chithin,5. Doanh thu hoat döning tai chithin,21,28,"704,458,153,583","786,454,860,054",21.0,28.0,,
6. Cihi phti tai chithin,dich vü (20=10-11) > 6. Cihi phti tai chithin,6. Cihi phti tai chithin,22,29,"945,790,525,558","1,135,965,563,704",22.0,29.0,,
- Trong do: Cihi phti lei vay,dich vü (20=10-11) > - Trong do: Cihi phti lei vay,- Trong do: Cihi phti lei vay,23,,"905,354,010,329","837,497,570,377",23.0,,,
7. Cihi phti quan ly daonh ngjährp,dich vü (20=10-11) > 7. Cihi phti quan ly daonh ngjährp,7. Cihi phti quan ly daonh ngjährp,26,30,"505,209,523,493","445,581,900,363",26.0,30.0,,
8. Löt nhüun thuan ty hoat döning kinh daonh,dich vü (20=10-11) > 8. Löt nhüun thuan ty hoat döning kinh daonh,8. Löt nhüun thuan ty hoat döning kinh daonh,30,,"2,032,947,308,166","1,040,817,293,269",30.0,,,
(30=20+(21-22)-26),(30=20+(21-22)-26),(30=20+(21-22)-26),,,,,,,,
9. Thus nhäp kiac,(30=20+(21-22)-26) > 9. Thus nhäp kiac,9. Thus nhäp kiac,31,,"29,084,327,298","11,460,136,160",31.0,,,
10. Cihi phti kiac,(30=20+(21-22)-26) > 10. Cihi phti kiac,10. Cihi phti kiac,32,,"4,578,749,047","18,013,880,408",32.0,,,
11. Löt nhüan/(Lö) kiac (40=31-32),(30=20+(21-22)-26) > 11. Löt nhüan/(Lö) kiac (40=31-32),11. Löt nhüan/(Lö) kiac (40=31-32),40,,"24,505,578,251","(6,553,744,248)",40.0,,,
(50=30+40),(30=20+(21-22)-26) > (50=30+40),(50=30+40),51,31,"2,057,452,886,417","1,034,263,549,021",51.0,31.0,,
12. Tong löt nhüan ke toan tru#c theue,(30=20+(21-22)-26) > 12. Tong löt nhüan ke toan tru#c theue,12. Tong löt nhüan ke toan tru#c theue,50,,"2,057,452,886,417","1,034,263,549,021",50.0,,,
(50=30+40),(50=30+40),(50=30+40),,,,,,,,
13. Cihi phti theue thus nhäp daonh ngjähr phtigh hanh,(50=30+40) > 13. Cihi phti theue thus nhäp daonh ngjähr phtigh hanh,13. Cihi phti theue thus nhäp daonh ngjähr phtigh hanh,51,31,"88,023,064,790","95,254,305,003",51.0,31.0,,
14. Löt nhüan sau theue thus nhäp daonh ngjährp,(50=30+40) > 14. Löt nhüan sau theue thus nhäp daonh ngjährp,14. Löt nhüan sau theue thus nhäp daonh ngjährp,60,,"1,969,429,821,627","939,009,244,018",60.0,,,
(60=50-51),(60=50-51),(60=50-51),,,,,,,,
