row_label_raw,row_label_full,Tên công ty,Nơi thành lậpvà hoạt động,Tỷ lệ phânsở hữu%,Tỷ lệ quyềnbiểu quyếtnăm giữ%,Hoạt động chính,numeric__Nơi thành lậpvà hoạt động,numeric__Tỷ lệ phânsở hữu%,numeric__Tỷ lệ quyềnbiểu quyếtnăm giữ%,numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cố phần Thủy điện Hủa Na,Công ty con > Công ty Cố phần Thủy điện Hủa Na,Công ty Cố phần Thủy điện Hủa Na,Nghệ An,"84,14%","84,14%",Sản xuất điện,,0.8414,0.8414,
Công ty Cố phần Điện lực Dầu khí Nhơn Trạch 2,Công ty con > Công ty Cố phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cố phần Điện lực Dầu khí Nhơn Trạch 2,Đồng Nai,"59,37%","59,37%",Sản xuất điện,,0.5937,0.5937,
Công ty Cố phần Thủy điện Dakdrinh,Công ty con > Công ty Cố phần Thủy điện Dakdrinh,Công ty Cố phần Thủy điện Dakdrinh,Quảng Ngãi,"94,83%","94,83%",Sản xuất điện,,0.9483,0.9483,
Công ty Cố phần Máy - Thiết bị Dầu khí,Công ty con > Công ty Cố phần Máy - Thiết bị Dầu khí,Công ty Cố phần Máy - Thiết bị Dầu khí,Hà Nội,"51,58%","51,58%",Thường mại,,0.5158,0.5158,
Công ty Cố phần Điện lực Dầu khí Bắc Kạn,Công ty con > Công ty Cố phần Điện lực Dầu khí Bắc Kạn,Công ty Cố phần Điện lực Dầu khí Bắc Kạn,Bắc Kạn,"94,23%","94,23%",Sản xuất điện,,0.9423,0.9423,
Công ty Cố phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty con > Công ty Cố phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Hà Nội,"51,00%","51,00%",Dịch vụ,,0.51,0.51,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cố phần Thủy điện Nậm Chiến,Công ty liên kết > Công ty Cố phần Thủy điện Nậm Chiến,Công ty Cố phần Thủy điện Nậm Chiến,Sơn La,"30,72%","30,72%",Sản xuất điện,,0.3072,0.3072,
Công ty Cố phần Thủy điện Sông Vàng,Công ty liên kết > Công ty Cố phần Thủy điện Sông Vàng,Công ty Cố phần Thủy điện Sông Vàng,Đà Nẵng,"31,91%","31,91%",Sản xuất điện,,0.3191,0.3191,
Công ty Cố phần Năng lượng Sông Hồng,Công ty liên kết > Công ty Cố phần Năng lượng Sông Hồng,Công ty Cố phần Năng lượng Sông Hồng,Yến Bái,44.07%,44.07%,Sản xuất điện,,44.07,44.07,
