row_label_raw,row_label_full,col_0,YND,YND_1,numeric__YND,numeric__YND_1
Lai tien guh,Lai tien guh,Lai tien guh,7.841.327.439,5.490.195.931,7841327439.0,5490195931.0
Ngan hang Tlndung maql Cd phan Dal chung vitet Nam,Ngan hang Tlndung maql Cd phan Dal chung vitet Nam,Ngan hang Tlndung maql Cd phan Dal chung vitet Nam,7.841.327.439,5.490.195.931,7841327439.0,5490195931.0
Ngan hang Tlndung mäl Cd phan Dal chung vitet Nam,Ngan hang Tlndung mäl Cd phan Dal chung vitet Nam,Ngan hang Tlndung mäl Cd phan Dal chung vitet Nam,165.545.455.361,32.072.344.363,165545455361.0,32072344363.0
Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,165.545.455.361,32.072.344.363,165545455361.0,32072344363.0
Cih pli tiel Iay,Cih pli tiel Iay,Cih pli tiel Iay,165.545.455.361,32.072.344.363,165545455361.0,32072344363.0
Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,Ngan hang Tlndung mal Cd phan Dal chung vitet Nam,165.545.455.361,32.072.344.363,165545455361.0,32072344363.0
Ccl tuc nhen diwc,Ccl tuc nhen diwc,Ccl tuc nhen diwc,463.698.272.422,575.339.832.000,463698272422.0,575339832000.0
Chng ty Cd phan Mely - Thintet Bi Djau khi,Chng ty Cd phan Mely - Thintet Bi Djau khi,Chng ty Cd phan Mely - Thintet Bi Djau khi,9.965.715.000,7.972.572.000,9965715000.0,7972572000.0
Chng ty Cd phan Dchiy v Ky thuqat Dijan luc Dau khi vitet Nam,Chng ty Cd phan Dchiy v Ky thuqat Dijan luc Dau khi vitet Nam,Chng ty Cd phan Dchiy v Ky thuqat Dijan luc Dau khi vitet Nam,9.324.749.422,11.857.500.000,9324749422.0,11857500000.0
Nog lgi nhuan trong nam,Nog lgi nhuan trong nam,Nog lgi nhuan trong nam,1.563.073.962.831,429.673.679.616,1563073962831.0,429673679616.0
Tarp doan Dau khi vitet Nam,Tarp doan Dau khi vitet Nam,Tarp doan Dau khi vitet Nam,1.563.073.962.831,429.673.679.616,1563073962831.0,429673679616.0
Chuven giao tai san,Chuven giao tai san,Chuven giao tai san,-,218.489.976.676,,218489976676.0
Tarp doan Dau khi vitet Nam,Tarp doan Dau khi vitet Nam,Tarp doan Dau khi vitet Nam,-,218.489.976.676,,218489976676.0
This nhêp cua Ban Tóng Gliam dce,This nhêp cua Ban Tóng Gliam dce,This nhêp cua Ban Tóng Gliam dce,5.494.539.715,5.220.607.486,5494539715.0,5220607486.0
