row_label_raw,row_label_full,Chi phi Isti ley
(Hoan nhap/) Due phong cac khoan dau tu tali chihn dai hàn,(Hoan nhap/) Due phong cac khoan dau tu tali chihn dai hàn,(Hoan nhap/) Due phong cac khoan dau tu tali chihn dai hàn
phi cui cac khoan vay tho tha may shiet dhen Vwng Ang 1,phi cui cac khoan vay tho tha may shiet dhen Vwng Ang 1,phi cui cac khoan vay tho tha may shiet dhen Vwng Ang 1
phi dao iandh khoan vay,phi dao iandh khoan vay,phi dao iandh khoan vay
phi dao iandh kinoh vay,phi dao iandh kinoh vay,phi dao iandh kinoh vay
phi bao iandh kinoh vay,phi bao iandh kinoh vay,phi bao iandh kinoh vay
phi phi tai chihn khaic,phi phi tai chihn khaic,phi phi tai chihn khaic
