row_label_raw,row_label_full,Nam may,Nam teuc,numeric__Nam teuc
VND,VND,VND,VND,
18.125.174.349.502,VND > 18.125.174.349.502,18.125.174.349.502,16.392.728.013.791,16392728013791.0
1.152.432.843,VND > 1.152.432.843,1.152.432.843,19.355.678.062,19355678062.0
18.126.326.782.345,VND > 18.126.326.782.345,18.126.326.782.345,16.412.083.691.853,16412083691853.0
