row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tài sàncố định khácVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sàncố định khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.313.171.840.174,38.148.658.177.426,214.495.099.895,73.997.268.746,2.123.704.305.813,46.874.026.692.054,6313171840174.0,38148658177426.0,214495099895.0,73997268746.0,2123704305813.0,46874026692054.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,13.976.496.034,15.734.457.518,697.451.657,146.427.818,1.456.599.626,32.011.432.653,13976496034.0,15734457518.0,697451657.0,146427818.0,1456599626.0,32011432653.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,11.130.792.332,2.754.890.670,5.711.408.812,-,19.597.091.814,,11130792332.0,2754890670.0,5711408812.0,,19597091814.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,44.905.624,-,-,-,-,44.905.624,44905624.0,,,,,44905624.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.327.193.241.832,38.175.523.427.276,217.947.442.222,79.855.105.376,2.125.160.905.439,46.925.680.122.145,6327193241832.0,38175523427276.0,217947442222.0,79855105376.0,2125160905439.0,46925680122145.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.182.400.472.531,13.558.570.437.029,153.815.697.456,60.986.338.433,88.757.183.198,15.044.530.128.647,1182400472531.0,13558570437029.0,153815697456.0,60986338433.0,88757183198.0,15044530128647.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,277.734.985.810,2.734.631.595.069,20.155.829.241,5.863.960.017,88.496.392.171,3.126.882.762.308,277734985810.0,2734631595069.0,20155829241.0,5863960017.0,88496392171.0,3126882762308.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.460.135.458.341,16.293.202.032.098,173.971.526.697,66.850.298.450,177.253.575.369,18.171.412.890.955,1460135458341.0,16293202032098.0,173971526697.0,66850298450.0,177253575369.0,18171412890955.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.130.771.367.643,24.590.087.740.397,60.679.402.439,13.010.930.313,2.034.947.122.615,31.829.496.563.407,5130771367643.0,24590087740397.0,60679402439.0,13010930313.0,2034947122615.0,31829496563407.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.867.057.783.491,21.882.321.395.178,43.975.915.525,13.004.806.926,1.947.907.330.070,28.754.267.231.190,4867057783491.0,21882321395178.0,43975915525.0,13004806926.0,1947907330070.0,28754267231190.0
