row_label_raw,row_label_full,col_0,Số cuối năm > VNDGiá trị,Số cuối năm > VNDSố có khả năngtrả nợ,Số đầu năm > VNDGiá trị,Số đầu năm > VNDSố có khả năngtrả nợ,numeric__Số cuối năm > VNDGiá trị,numeric__Số cuối năm > VNDSố có khả năngtrả nợ,numeric__Số đầu năm > VNDGiá trị,numeric__Số đầu năm > VNDSố có khả năngtrả nợ
a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,,,,
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,a) Các khoản phải trả người bán ngắn hạn > Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,320.868.161.825,320.868.161.825,54.488.893.679,54.488.893.679,320868161825.0,320868161825.0,54488893679.0,54488893679.0
Tập đoàn Điện lực Việt Nam,a) Các khoản phải trả người bán ngắn hạn > Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,13.077.812.223,13.077.812.223,12.600.794.312,12.600.794.312,13077812223.0,13077812223.0,12600794312.0,12600794312.0
Công ty TNHH Xuân Thiên,a) Các khoản phải trả người bán ngắn hạn > Công ty TNHH Xuân Thiên,Công ty TNHH Xuân Thiên,-,-,12.492.750.226,12.492.750.226,,,12492750226.0,12492750226.0
Các đối tượng khác,a) Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,198.020.841.083,198.020.841.083,87.094.995.065,87.094.995.065,198020841083.0,198020841083.0,87094995065.0,87094995065.0
b) Phải trả người bán là các bên liên quan(được trình bày tại Thuyết minh số 32),a) Các khoản phải trả người bán ngắn hạn > b) Phải trả người bán là các bên liên quan(được trình bày tại Thuyết minh số 32),b) Phải trả người bán là các bên liên quan(được trình bày tại Thuyết minh số 32),1.638.920.068.328,1.638.920.068.328,2.439.989.396.112,2.439.989.396.112,1638920068328.0,1638920068328.0,2439989396112.0,2439989396112.0
,,,2.170.886.883.459,2.170.886.883.459,2.606.666.829.394,2.606.666.829.394,2170886883459.0,2170886883459.0,2606666829394.0,2606666829394.0
