row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng công,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng công
VND,VND,VND,VND,VND,VND,,,
21.774.301.577.676,VND > 21.774.301.577.676,21.774.301.577.676,281.804.378.953,414.729.693.527,22.470.835.650.156,281804378953.0,414729693527.0,22470835650156.0
-,VND > -,-,-,939.009.244.018,939.009.244.018,,939009244018.0,939009244018.0
-,VND > -,-,18.425.485.059,(18.425.485.059),-,18425485059.0,-18425485059.0,
-,VND > -,-,13.037.786.248,(10.363.536.248),2.674.250.000,13037786248.0,-10363536248.0,2674250000.0
-,VND > -,-,-,(33.095.751.244),(33.095.751.244),,-33095751244.0,-33095751244.0
-,VND > -,-,352.844.920.976,(352.844.920.976),-,352844920976.0,-352844920976.0,
-,VND > -,-,273.779.026.580,(273.779.026.580),-,273779026580.0,-273779026580.0,
-,VND > -,-,-,(82.326.037.169),(82.326.037.169),,-82326037169.0,-82326037169.0
-,VND > -,-,-,(556.491.691.416),(556.491.691.416),,-556491691416.0,-556491691416.0
21.774.301.577.676,VND > 21.774.301.577.676,21.774.301.577.676,939.891.597.816,26.412.488.853,22.740.605.664.345,939891597816.0,26412488853.0,22740605664345.0
-,VND > -,-,-,1.969.429.821.627,1.969.429.821.627,,1969429821627.0,1969429821627.0
-,VND > -,-,579.555.941.826,(579.555.941.826),-,579555941826.0,-579555941826.0,
-,VND > -,-,-,(93.078.380.257),(93.078.380.257),,-93078380257.0,-93078380257.0
-,VND > -,-,-,(1.259.218.817.338),(1.259.218.817.338),,-1259218817338.0,-1259218817338.0
21.774.301.577.676,VND > 21.774.301.577.676,21.774.301.577.676,1.519.447.539.642,63.989.171.059,23.357.738.288.377,1519447539642.0,63989171059.0,23357738288377.0
