row_label_raw,row_label_full,col_0,50 cuoi nám,50 duu nám,numeric__50 cuoi nám,numeric__50 duu nám
Ngoéi tê cac Iolêi,Ngoéi tê cac Iolêi,Ngoéi tê cac Iolêi,Ngoéi tê cac Iolêi,Ngoéi tê cac Iolêi,,
do la MY (USD),Ngoéi tê cac Iolêi > do la MY (USD),do la MY (USD),"3.649,9","1.054,1",3649.9,1054.1
Dang Euro (EUR),Ngoéi tê cac Iolêi > Dang Euro (EUR),Dang Euro (EUR),"735,0","735,0",735.0,735.0
