row_label_raw,row_label_full,Phat tra ngutot bbn,1.638.920.068.328,2.439.989.396.112,numeric__1.638.920.068.328,numeric__2.439.989.396.112
Tarp doan dBu kht Viet Nam,Tarp doan dBu kht Viet Nam,Tarp doan dBu kht Viet Nam,1.196.461.450.236,1.038.110.318.129,1196461450236.0,1038110318129.0
Cingy tvc phan Didit yv Ky thuut Diun Itc Dau kht Viet Nam,Cingy tvc phan Didit yv Ky thuut Diun Itc Dau kht Viet Nam,Cingy tvc phan Didit yv Ky thuut Diun Itc Dau kht Viet Nam,368.584.365.686,221.973.024.563,368584365686.0,221973024563.0
Cingy tvc phan Daq kht Viet Nam,Cingy tvc phan Daq kht Viet Nam,Cingy tvc phan Daq kht Viet Nam,32.233.957.702,20.461.906.388,32233957702.0,20461906388.0
Cingy tvc phan Nay - Triet Bi Dau kht,Cingy tvc phan Nay - Triet Bi Dau kht,Cingy tvc phan Nay - Triet Bi Dau kht,14.701.788.010,34.014.804.665,14701788010.0,34014804665.0
Ting Chng Ty Dung dich khoan va Hea Pham Dau kht,Ting Chng Ty Dung dich khoan va Hea Pham Dau kht,Ting Chng Ty Dung dich khoan va Hea Pham Dau kht,14.000.479.783,9.382.412.825,14000479783.0,9382412825.0
Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,744.947.445,1.675.096.537,744947445.0,1675096537.0
Viwan Dau kht Viet Nam,Viwan Dau kht Viet Nam,Viwan Dau kht Viet Nam,744.947.445,1.675.096.537,744947445.0,1675096537.0
Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Ddit yv Bao yv An minh Dau kht Viet Nam,1.057.053.213,8.789.497.607,1057053213.0,8789497607.0
Ting Chng Ty Bao duwng - Sula chiwa Cngng trinh Dau kht,Ting Chng Ty Bao duwng - Sula chiwa Cngng trinh Dau kht,Ting Chng Ty Bao duwng - Sula chiwa Cngng trinh Dau kht,1.165.095.429,338.461.530,1165095429.0,338461530.0
Cingy tvc phan Didit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Didit yv Bao yv An minh Dau kht Viet Nam,Cingy tvc phan Didit yv Bao yv An minh Dau kht Viet Nam,1.053.805.336.343,2.550.000,1053805336343.0,2550000.0
