row_label_raw,row_label_full,Tên đơn vị,Môi quan hệ,numeric__Môi quan hệ
"SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD","SBI FINANCIAL SERVICES CO., LTD",Cổ đông lớn,
Công ty Cổ Phân FPT,Công ty Cổ Phân FPT,Công ty Cổ Phân FPT,Cổ đông lớn,
Công ty TNHH Hệ thống thông tin FPT,Công ty TNHH Hệ thống thông tin FPT,Công ty TNHH Hệ thống thông tin FPT,Người có liên quan của người nội bộ Đỗ Sơn Giang,
"Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán, Kế toán trường, Người được ủy quyền công bố thông tin",Ban điều hành và các nhân sự chủ chốt,
