row_label_raw,row_label_full,STT,Các giao dịch và các khoản tiền,Năm nay,Năm trước,numeric__Các giao dịch và các khoản tiền,numeric__Năm nay,numeric__Năm trước
A,A,A,B,1,2,,1.0,2.0
,,,Tiền gửi ngân hàng,,,,,
,,,-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,3.447.888.429.448,2.528.623.967.684,,3447888429448.0,2528623967684.0
,,,-Tiền gửi của Tổ chức phát hành,375.518.950,176.549.975,,375518950.0,176549975.0
,,,Tổng,3.448.263.948.398,2.528.800.517.659,,3448263948398.0,2528800517659.0
