row_label_raw,row_label_full,STT,Chi tiết chi phí khác,Năm nay,Năm trước,numeric__Chi tiết chi phí khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Phạt do vi phạm hành chính,7.200,274.113.226,,7200.0,274113226.0
2,2,2,Chi phí Token card,455.814.260,257.061.770,,455814260.0,257061770.0
3,3,3,Phí chuyển tiền của NDT,1.138.556.021,1.381.232.927,,1138556021.0,1381232927.0
4,4,4,Chi phí khác,45.869.981.490,53.775.388.537,,45869981490.0,53775388537.0
,,,Cộng,47.464.358.971,55.687.796.460,,47464358971.0,55687796460.0
