row_label_raw,row_label_full,STT,Các loại tài sản tài chính,Số cuối năm > Giá mua,Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua,Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Các loại tài sản tài chính,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
A,A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
1,1,1,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,1 > 1,1,Cổ phiếu,16.400.532.728,351.393.976.595,334.999.717.599,6.273.732,351.393.976.595,15.500.209.920,318.587.660.854,303.092.362.539,4.911.605,318.587.660.854,,16400532728.0,351393976595.0,334999717599.0,6273732.0,351393976595.0,15500209920.0,318587660854.0,303092362539.0,4911605.0,318587660854.0
1.1,1 > 1.1,1.1,"Cổ phiếu niêm yết, đăng ký GD",14.376.456.824,349.369.900.691,334.999.717.599,6.273.732,349.369.900.691,13.476.134.016,316.563.584.950,303.092.362.539,4.911.605,316.563.584.950,,14376456824.0,349369900691.0,334999717599.0,6273732.0,349369900691.0,13476134016.0,316563584950.0,303092362539.0,4911605.0,316563584950.0
,,,MSH- Công ty cổ phần May Sông Hồng,13.454.983.050,348.192.141.000,334.737.157.950,,348.192.141.000,13.454.983.050,316.538.310.000,303.083.326.950,,316.538.310.000,,13454983050.0,348192141000.0,334737157950.0,,348192141000.0,13454983050.0,316538310000.0,303083326950.0,,316538310000.0
,,,Cổ phiếu niêm yết khác,921.473.774,1.177.759.691,262.559.649,6.273.732,1.177.759.691,21.150.966,25.274.950,9.035.589,4.911.605,25.274.950,,921473774.0,1177759691.0,262559649.0,6273732.0,1177759691.0,21150966.0,25274950.0,9035589.0,4911605.0,25274950.0
1.2,1 > 1.2,1.2,Cổ phiếu chưa niêm yết,2.024.075.904,2.024.075.904,,,2.024.075.904,2.024.075.904,2.024.075.904,,,2.024.075.904,,2024075904.0,2024075904.0,,,2024075904.0,2024075904.0,2024075904.0,,,2024075904.0
,,,CIC8 - CTCP đầu tư xây dựng số 8,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,Cổ phiếu chưa niêm yết khác,24.075.904,24.075.904,,,24.075.904,24.075.904,24.075.904,,,24.075.904,,24075904.0,24075904.0,,,24075904.0,24075904.0,24075904.0,,,24075904.0
2,1 > 2,2,Trái phiếu niêm yết,474.157.500.000,474.157.500.000,,,474.157.500.000,,,,,,,474157500000.0,474157500000.0,,,474157500000.0,,,,,
,,,TD2035025- Trái phiếu chính phủ đầu thầu đợt 121/2020,318.015.000.000,318.015.000.000,,,318.015.000.000,,,,,,,318015000000.0,318015000000.0,,,318015000000.0,,,,,
,,,TD2035026- Trái phiếu chính phủ đầu thầu đợt 143/2020,156.142.500.000,156.142.500.000,,,156.142.500.000,,,,,,,156142500000.0,156142500000.0,,,156142500000.0,,,,,
3,1 > 3,3,Trái phiếu,120.000.000.000,120.000.000.000,,,120.000.000.000,70.000.000.000,70.000.000.000,,,20.000.000.000,,120000000000.0,120000000000.0,,,120000000000.0,70000000000.0,70000000000.0,,,20000000000.0
,,,CTG2028T2/02-Trái phiếu Ngân hàng TMCP Công thương Việt Nam,,,,,,50.000.000.000,50.000.000.000,,,,,,,,,,50000000000.0,50000000000.0,,,
,,,CTG2030T2/01- Trái phiếu Ngân hàng TMCP Công Thương Việt Nam,20.000.000.000,20.000.000.000,,,20.000.000.000,20.000.000.000,20.000.000.000,,,20.000.000.000,,20000000000.0,20000000000.0,,,20000000000.0,20000000000.0,20000000000.0,,,20000000000.0
,,,CTG2230T2/01 - Trái phiếu Ngân hàng TMCP Công Thương Việt Nam,100.000.000.000,100.000.000.000,,,100.000.000.000,,,,,,,100000000000.0,100000000000.0,,,100000000000.0,,,,,
4,1 > 4,4,"Tiền gửi có kỳ hạn cổ định, chứng chỉ tiền gửi",403.761.703.435,403.761.703.435,,,403.761.703.435,683.000.000.000,683.000.000.000,,,683.000.000.000,,403761703435.0,403761703435.0,,,403761703435.0,683000000000.0,683000000000.0,,,683000000000.0
