row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,B,C,1,2,,,1.0,2.0
C. NỘ PHẢI TRẢ (300 = 310 + 340),C. NỘ PHẢI TRẢ (300 = 310 + 340),C. NỘ PHẢI TRẢ (300 = 310 + 340),300,,4.590.747.359.986,1.939.966.665.884,300.0,,4590747359986.0,1939966665884.0
I. Nợ phải trả ngắn hạn,I. Nợ phải trả ngắn hạn,I. Nợ phải trả ngắn hạn,310,,4.590.747.359.986,1.939.966.665.884,310.0,,4590747359986.0,1939966665884.0
1. Vay và nợ thuê tài chính ngắn hạn,1. Vay và nợ thuê tài chính ngắn hạn,1. Vay và nợ thuê tài chính ngắn hạn,311,A.7.27,3.148.101.835.693,1.308.000.000.000,311.0,,3148101835693.0,1308000000000.0
1.1. Vay ngắn hạn,1.1. Vay ngắn hạn,1.1. Vay ngắn hạn,312,,3.148.101.835.693,1.308.000.000.000,312.0,,3148101835693.0,1308000000000.0
8. Phải trả người bán ngắn hạn,8. Phải trả người bán ngắn hạn,8. Phải trả người bán ngắn hạn,320,A.7.25,442.083.967,1.138.988.262,320.0,,442083967.0,1138988262.0
9. Người mua trả tiền trước ngắn hạn,9. Người mua trả tiền trước ngắn hạn,9. Người mua trả tiền trước ngắn hạn,321,,4.107.218.000,5.312.275.000,321.0,,4107218000.0,5312275000.0
10. Thuế và các khoản phải nộp Nhà nước,10. Thuế và các khoản phải nộp Nhà nước,10. Thuế và các khoản phải nộp Nhà nước,322,A.7.23,32.533.739.831,43.042.624.127,322.0,,32533739831.0,43042624127.0
11. Phải trả người lao động,11. Phải trả người lao động,11. Phải trả người lao động,323,,20.687.018.572,18.321.887.389,323.0,,20687018572.0,18321887389.0
12. Các khoản trích nộp phúc lợi nhân viên,12. Các khoản trích nộp phúc lợi nhân viên,12. Các khoản trích nộp phúc lợi nhân viên,324,,1.747.928.245,1.571.578.657,324.0,,1747928245.0,1571578657.0
13. Chi phí phải trả ngắn hạn,13. Chi phí phải trả ngắn hạn,13. Chi phí phải trả ngắn hạn,325,A.7.24,11.635.008.140,11.149.425.550,325.0,,11635008140.0,11149425550.0
