row_label_raw,row_label_full,A.7.7. Hàng tồn kho- Vật tư văn phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A.7.7. Hàng tồn kho- Vật tư văn phòng,A.7.7. Hàng tồn kho- Vật tư văn phòng,A.7.7. Hàng tồn kho- Vật tư văn phòng,1.375.215.648,2.835.244.389,1375215648.0,2835244389.0
Cộng,Cộng,Cộng,1.375.215.648,2.835.244.389,1375215648.0,2835244389.0
"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)",Số cuối năm,Số đầu năm,,
"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...) > A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...)",2.171.336.167,2.836.736.906,2171336167.0,2836736906.0
"b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...) > b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)",2.059.648.764,2.301.699.789,2059648764.0,2301699789.0
Cộng,"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nối hai sở, bảo hành bảo trì phần mềm thiết bị...) > Cộng",Cộng,4.230.984.931,5.138.436.695,4230984931.0,5138436695.0
A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,Số cuối năm,Số đầu năm,,
A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ > A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,10.120.000.000,10.120.000.000,10120000000.0,10120000000.0
A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ > A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,14.482.731.824,14.482.731.824,14482731824.0,14482731824.0
A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ > A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ,5.432.417.965,5.410.713.793,5432417965.0,5410713793.0
Cộng,A.7.9. Tiền nộp Quỹ Hồ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong kỳ > Cộng,Cộng,30.035.149.789,30.013.445.617,30035149789.0,30013445617.0
